項目,大島町,利島村,新島村,神津島村,合計
一般公共事業債（千円）,0,0,0,0,0
一般単独事業債（千円）,403600,0,0,3900,407500
公営住宅建設事業債（千円）,0,0,47237,0,47237
学校教育施設等整備事業債（千円）,372269,4592,152340,30960,560161
辺地対策事業債（千円）,1669914,11000,471079,485549,2637542
災害復旧事業債（千円）,527,0,0,23000,23527
災害復旧事業債／単独災害復旧事業債（千円）,0,0,0,23000,23000
災害復旧事業債／補助災害復旧事業債（千円）,527,0,0,0,527
一般廃棄物処理事業債（千円）,1273290,24400,47149,0,1344839
社会福祉施設整備事業債（千円）,0,0,0,0,0
過疎対策事業債（千円）,1014461,0,820837,0,1835298
財源対策債（千円）,246564,0,0,0,246564
臨時財政特例債（千円）,0,0,0,0,0
調整債（千円）,0,0,0,0,0
都道府県貸付金（千円）,1955281,38368,21234,0,2014883
その他（千円）,2343694,254388,1113457,712234,4423773
合計（千円）,9279600,332748,2673333,1255643,13541324
