町村名,組合名,正組合員数,准組合員数,組合員計,理事数,職員数,決算日,設立年月日
大島町,伊豆大島,171,872,1043,6,6,3.31,2003/7/1
大島町,元町,63,229,292,6,0,12.31,1950/3/31
大島町,小計,234,1101,1335,12,6,-,-
利島村,利島村,29,40,69,5,3,12.31,1951/5/4
新島村,にいじま,66,463,529,6,5,12.31,2002/7/1
神津島村,神津島,167,189,356,7,12,12.31,1949/9/16
計,,496,1793,2289,30,26,-,-
新島水産加工,,16,,16,5,2,12.31,1949/8/4
