島別,大島／2016年（人）,大島／2015年（人）,利島／2016年（人）,利島／2015年（人）,新島／2016年（人）,新島／2015年（人）,式根島／2016年（人）,式根島／2015年（人）,神津島／2016年（人）,神津島／2015年（人）,計／2016年（人）,計／2015年（人）,前年対比（％）
1月,13679,14812,496,413,2357,2132,332,403,1611,1530,18475,19290,95.8
2月,23227,22329,450,367,2329,1825,443,402,1376,1397,27825,26320,105.7
3月,28352,28148,570,515,2750,2501,724,730,2339,2286,34735,34180,101.6
4月,14189,12051,477,361,3394,2760,993,800,2329,1637,21382,17609,121.4
5月,16839,17037,802,957,5226,5665,1752,2040,3368,3976,27987,29675,94.3
6月,15198,14885,691,711,3436,3364,1150,1113,2119,2098,22594,22171,101.9
7月,20507,16961,1039,1019,6426,5284,4837,4255,6400,5329,39209,32848,119.4
8月,28082,30684,1015,1517,9516,9532,7731,8513,10733,11580,57077,61826,92.3
9月,18258,19018,725,1027,4850,4908,3728,3927,4613,4657,32174,33537,95.9
10月,18174,16063,747,963,3357,3195,1269,972,2634,2185,26181,23378,112
11月,16814,14728,529,601,2595,2754,858,773,2137,2028,22933,20884,109.8
12月,16349,13734,502,352,2717,2500,568,539,1925,1720,22061,18845,117.1
計,229668,220450,8043,8803,48953,46420,24385,24467,41584,40423,352633,340563,103.5
前年対比（％）,104.2,,91.4,,105.5,,99.7,,102.9,,103.5,,
