町村名,組合名,正組合員数,准組合員数,組合員計,理事数,職員数,決算日,設立年月日
大島町,伊豆大島,147,897,1044,8,6,3.31,2003/7/1
大島町,元町,64,230,294,6,0,12.31,1950/3/31
大島町,小計,211,1127,1338,14,6,-,-
利島村,利島村,29,38,67,5,3,12.31,1951/5/4
新島村,にいじま,65,459,524,6,5,12.31,2002/7/1
神津島村,神津島,167,189,356,7,14,12.31,1949/9/16
計,,472,1813,2285,32,28,-,-
新島水産加工,,16,,16,5,1,12.31,1949/8/4
