航空会社名,路線,４月,５月,６月,７月,８月,９月,10月,11月,12月,１月,２月,３月,2017年度計
定期便／新中央航空（株）,調布⇔大島就航機数,79,84,71,87,97,75,69,75,84,81,74,83,959
定期便／新中央航空（株）,就航率（％）,90.8,90.3,83.5,91.6,89.8,90.4,81.2,92.6,97.7,942,94.9,95.4,91
定期便／新中央航空（株）,乗降客数,1268,1468,1202,1648,2228,1454,1242,1511,1552,1491,1342,1718,18124
定期便／新中央航空（株）,利用率（％）,42.2,46,44.6,49.8,60.1,51,47.4,53.4,48.6,48.7,47.7,545,49.8
定期便／新中央航空（株）,定期便以外乗降客数,284,320,350,400,184,182,225,198,326,251,189,277,3186
定期便／新中央航空（株）,大島計,1552,1788,1552,2048,2412,1636,1467,1709,1878,1742,1531,1995,21310
定期便／新中央航空（株）,調布⇔新島就航機数,109,112,111,122,121,109,101,118,121,117,109,110,1360
定期便／新中央航空（株）,就航率（％）,94,93.3,92.5,98.4,97.6,90.8,81.5,98.3,97.6,94.4,97.3,88.7,93.7
定期便／新中央航空（株）,乗降客数,2363,2561,2714,3009,3649,2631,2415,3255,2957,2658,2732,2802,33746
定期便／新中央航空（株）,利用率（％）,57,60.2,64.3,64.9,75.8,63.5,62.9,72.6,64.3,59.8,66,67.3,65.3
定期便／新中央航空（株）,定期便以外乗降客数,50,63,28,119,24,54,28,35,47,24,20,54,546
定期便／新中央航空（株）,新島計,2413,2624,2742,3128,3673,2685,2443,3290,3004,2682,2752,2856,34292
定期便／新中央航空（株）,調布⇔神津島就航機数,79,85,72,88,105,76,71,84,84,82,79,78,983
定期便／新中央航空（株）,就航率（％）,85.9,86.7,80,88.9,97.2,84.4,76.3,93.3,90.3,88.2,94,83.9,87.5
定期便／新中央航空（株）,乗降客数,1585,1944,1640,2135,2802,1954,1642,2137,2040,1802,1615,1930,23226
定期便／新中央航空（株）,利用率（％）,52.8,60.2,59.9,63.8,70.6,67.7,60.9,66.9,63.9,57.8,53.8,66,62.3
定期便／新中央航空（株）,定期便以外乗降客数,16,16,16,72,60,40,0,30,6,14,28,12,310
定期便／新中央航空（株）,神津島計,1601,1960,1656,2207,2862,1994,1642,2167,2046,1816,1643,1942,23536
