震度,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
震度1,0,0,1,5,2,8,0,1,0,0,0,0,17
震度2,0,0,0,0,1,3,0,0,0,0,0,0,4
月別合計  ,0,0,1,5,3,11,0,1,0,0,0,0,21
