年度,カラス,ヒヨドリ,キジ,キジの卵,その他鳥類,シカ,サル,リス,キョン,その他獣類,計
2013,197,0,0,0,0,295,328,5555,727,0,7102
2014,378,0,0,0,0,265,343,10046,1022,2,12056
2015,121,0,0,0,0,285,344,8514,1413,1,10678
2016,239,0,0,0,0,303,296,8432,2243,3,11516
2017,355,0,0,0,0,286,238,6423,3267,6,10935
2018,440,0,0,0,0,299,456,9174,4204,3,14576
