町村別,保管場所,毛布（枚）,カーペット（枚）,カーペット内、ゴザ（枚）,クラッカー・アルファ化米,ロウソク（個）,キャンドル（個）,肌着（組）,人口（人）
大島支庁,大島支庁備蓄倉庫,3300,2000,,12000,4000,4000,900,
大島町,岡田備蓄庫,2130,710,,7400,0,0,0,
大島町,泉津備蓄庫,5940,2000,142,2550,0,0,0,
大島町,差木地備蓄庫,3280,815,300,7050,0,0,0,
大島町,火山博物館倉庫,1380,0,,9000,0,0,0,
大島町,その他各施設,587,615,43,0,,,,
大島町,小計,13317,4140,485,26000,0,0,0,7880
利島村,利島村役場,400,135,,11900,0,0,0,321
新島村,新島村防災備蓄倉庫,2220,0,,35320,0,0,0,
新島村,若郷防災備蓄倉庫,670,90,,7880,0,0,0,
新島村,式根島防災備蓄倉庫,660,0,,10380,0,0,0,
新島村,小計,3550,90,,53580,0,0,0,2724
神津島村,神津島村役場,1000,200,,15480,3000,0,0,1894
大島支庁管内合計,,21807,6565,485,104580,7000,4000,900,12819
