項目,大島町,利島村,新島村,神津島村,都内町村計,都内市町村計
自主財源／地方税（千円）,953358,44318,329312,223924,13841364,728802380
自主財源／地方税構成比（％）,8.9,3.9,8,7.7,19.2,44.9
自主財源／使用料・手数料（千円）,246688,17178,118066,43055,1719685,32732212
自主財源／使用料・手数料構成比（％）,2.3,1.5,2.9,1.5,2.4,2
自主財源／財産収入（千円）,18177,4279,31941,2738,407598,5942060
自主財源／財産収入構成比（％）,0.2,0.4,0.8,0.1,0.6,0.4
自主財源／その他（千円）,1028845,115601,455143,161962,6763096,117603239
自主財源／その他構成比（％）,9.6,10.1,11.1,5.6,9.4,7.2
自主財源／計（千円）,2247068,181376,934462,431679,22731743,885079891
自主財源／計構成比（％）,21.1,15.9,22.7,14.9,31.5,54.5
依存財源／地方交付税（千円）,2120296,342181,1401072,902424,15002278,53217738
依存財源／地方交付税構成比（％）,19.9,30,34,31.1,20.8,3.3
依存財源／国庫支出金（千円）,1533301,46586,271922,127881,5702663,262915681
依存財源／国庫支出金構成比（％）,14.4,4.1,6.6,4.4,7.9,16.2
依存財源／都支出金（千円）,3401398,541034,1507042,1186466,20504746,215248746
依存財源／都支出金構成比（％）,31.9,47.4,36.6,40.9,28.4,13.3
依存財源／地方債（千円）,1047226,16911,466452,83986,4438118,78238914
依存財源／地方債構成比（％）,9.8,1.5,11.3,2.9,6.1,4.8
依存財源／その他（千円）,313921,13068,120352,64580,3843685,129411648
依存財源／その他構成比（％）,2.9,1.1,2.9,2.2,5.3,17.5
依存財源／計（千円）,8416142,959780,3181078,2469970,49491490,739032727
依存財源／計構成比（％）,78.9,84.1,77.3,85.1,68.5,45.5
合計（千円）,10663210,1141156,4115540,2901649,72223233,1624112618
合計構成比（％）,100,100,100,100,100,100
