区分,大島町,利島村,新島村,神津島村,合 計
原動機付自転車（50cc以下）,7,1,8,11,27
原動機付自転車（50cc以下）（うち、非課税車自動車）,579,27,312,630,1548
自動二輪車（50cc超）,5,0,5,0,10
自動二輪車（50cc超）（うち、非課税車自動車）,520,8,119,92,739
小型特殊自動車,8,1,8,5,22
小型特殊自動車（うち、非課税車自動車）,230,3,73,28,334
軽自動車／貨物,69,12,59,39,179
軽自動車／貨物（うち、非課税車自動車）,2433,174,1019,591,4217
軽自動車／乗用,14,4,9,4,31
軽自動車／乗用（うち、非課税車自動車）,3038,68,935,513,4554
軽自動車／計,83,16,68,43,210
軽自動車／計（うち、非課税車自動車）,5471,242,1954,1104,8771
合計,103,18,89,59,269
合計（うち、非課税車自動車）,6800,280,2458,1854,11392
