学校名,課程,学科,卒業者数,卒業者数（男性）,卒業者数（女性）,大学等進学者数,就職者数,専修学校各種学校,その他
都立大島高等学校,全日制,普通,42,23,19,13,7,20,2
都立大島高等学校,全日制,併合,9,2,7,4,3,1,1
都立大島高等学校,定時制,普通,4,2,2,0,2,2,0
都立大島海洋国際高等学校,全日制,国際,75,59,16,48,7,10,10
都立新島高等学校,全日制,普通,16,6,10,7,1,7,1
都立神津高等学校,全日制,普通,13,5,8,2,4,7,0
合計,,,159,97,62,74,24,47,14
