月別,着陸回数／新中央航空（株）,着陸回数／東邦航空（株）,着陸回数／その他,着陸回数／減免,着陸回数／合計,使用料／着陸料／大型(19ｔ以上)（円）,使用料／着陸料／小型(19ｔ未満)（円）,使用料／着陸料／料計（円）,使用料／停留料／機数,使用料／停留料／金額（円）,合計（円）
4,81,52,46,4,183,,118899,118899,3,2430,121329
5,97,51,64,5,217,,143098,143098,7,10710,153808
6,73,47,39,12,171,,103720,103720,3,3270,106990
7,92,48,68,8,216,,144505,144505,4,3240,147745
8,118,58,35,13,224,,132320,132320,11,8910,141230
9,96,56,42,13,207,,129262,129262,0,0,129262
10,105,58,60,11,234,,163114,163114,4,3240,166354
11,87,55,54,33,229,,143226,143226,0,0,143226
12,97,68,67,12,244,,160939,160939,5,4050,164989
1,90,72,45,10,217,,139348,139348,0,0,139348
2,75,56,54,9,194,,126752,126752,5,4050,130802
3,111,57,56,6,230,,156838,156838,37,29970,186808
計,1122,678,630,136,2566,,1662021,1662021,79,69870,1731891
