月,着陸回数／新中央航空,着陸回数／その他,着陸回数／減免,着陸回数／合計,使用料／着陸料／大型(6ｔ以上)（円）,使用料／着陸料／小型(6ｔ未満)（円）,使用料／着陸料／計（円）,使用料／停留料／機数,使用料／停留料／金額（円）,使用料／合計（円）
4,119,6,12,137,21417,6000,27417,0,0,27417
5,106,4,8,118,17066,4000,21066,0,0,21066
6,83,8,4,95,13363,8000,21363,0,0,21363
7,93,13,6,112,14973,13000,27973,0,0,27973
8,98,11,8,117,45178,14300,59478,0,0,59478
9,75,4,3,82,34575,5200,39775,0,0,39775
10,85,3,20,108,41443,3900,45343,0,0,45343
11,79,5,5,89,37548,6500,44048,0,0,44048
12,83,4,3,90,38263,5200,43463,0,0,43463
1,88,5,4,97,41697,6500,48197,0,0,48197
2,83,3,6,92,38263,3900,42163,0,0,42163
3,93,1,11,105,46053,1300,47353,0,0,47353
計,1085,67,90,1242,389839,77800,467639,0,0,467639
