学校名,卒業者数,男,女,進学者数/管内都立(男),進学者数/管内都立(女),進学者数/管外都立(男),進学者数/管外都立(女),進学者数/私立(男),進学者数/私立(女),就職者数/島内(男),就職者数/島内(女),就職者数/島外(男),就職者数/島外(女),進学就職者数/島内(男),進学就職者数/島内(女),進学就職者数/島外(男),進学就職者数/島外(女),その他（県立等）(男),その他（県立等）(女)
第一中,27,11,16,9,11,1,1,1,4,0,0,0,0,0,0,0,0,0,0
第二中,22,15,7,13,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0
第三中,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大島計,61,33,28,29,21,2,1,2,6,0,0,0,0,0,0,0,0,0,0
利島中,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
新島中,21,11,10,7,7,2,1,2,2,0,0,0,0,0,0,0,0,0,0
式根中,5,2,3,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0
新島計,26,13,13,9,9,2,1,2,3,0,0,0,0,0,0,0,0,0,0
神津中,16,11,5,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1
合計,104,58,46,47,32,7,4,4,9,0,0,0,0,0,0,0,0,0,1
