町村名,漁協名,地区名,船級,隻数,トン数計,馬力数計
大島町,伊豆大島,泉津,2級船,0,0,0
大島町,伊豆大島,泉津,3級船,17,22.44,1183
大島町,伊豆大島,岡田,2級船,2,17.3,440
大島町,伊豆大島,岡田,3級船,40,75.91,3089
大島町,伊豆大島,野増,2級船,1,6.6,90
大島町,伊豆大島,野増,3級船,19,35.16,1508
大島町,伊豆大島,差木地,2級船,2,19.9,210
大島町,伊豆大島,差木地,3級船,28,59.16,1435
大島町,伊豆大島,波浮港,2級船,4,44.1,470
大島町,伊豆大島,波浮港,3級船,16,26.44,682
大島町,元町,,2級船,3,33.4,390
大島町,元町,,3級船,24,32.71,1125
利島村,利島村,,2級船,2,13.79,160
利島村,利島村,,3級船,16,43.2,1311
新島村,にいじま,若郷,2級船,9,107.03,1941
新島村,にいじま,若郷,3級船,8,27.17,490
新島村,にいじま,本村,2級船,11,114.8,3244
新島村,にいじま,本村,3級船,22,58.98,1642
新島村,にいじま,式根島,2級船,12,108.4,1612
新島村,にいじま,式根島,3級船,35,65.73,2407
神津島村,神津島,,2級船,83,880.43,22695
神津島村,神津島,,3級船,49,115.06,2907
動力漁船船級別合計,,,2級船,129,134575,31252
動力漁船船級別平均,,,2級船,,10.43,242.26
動力漁船船級別合計,,,3級船,274,561.96,17779
動力漁船船級別平均,,,3級船,,2.05,64.89
動力漁船合計,,,,403,1907.71,49031
官公庁船,,,1級船,1,189,1492
官公庁船,,,2級船,2,62,440
官公庁船,,,3級船,1,3.87,90
