月,航空旅客機／新中央航空（株）／降客（人）,航空旅客機／新中央航空（株）／乗客（人）,航空旅客機／新中央航空（株）／計（人）,航空旅客機／東邦航空（株）／降客（人）,航空旅客機／東邦航空（株）／乗客（人）,航空旅客機／東邦航空（株）／計（人）,航空旅客機／その他／降客（人）,航空旅客機／その他／乗客（人）,航空旅客機／その他／計（人）,航空旅客機／合計（人）,航空貨物取扱数量（kg）／卸,航空貨物取扱数量（kg）／積
4,749,954,1703,249,164,413,86,83,169,2285,1088,233
5,697,810,1507,212,135,347,105,110,215,2069,1228,112
6,508,508,1016,148,104,252,106,106,212,1480,1174,63
7,730,759,1489,156,94,250,173,173,346,2085,1117,136
8,940,1023,1963,138,79,217,125,125,250,2430,1147,60
9,635,709,1344,160,85,245,62,62,124,1713,1059,58
10,692,811,1503,319,220,539,113,115,228,2270,1184,244
11,617,747,1364,323,217,540,129,127,256,2160,1056,126
12,669,800,1469,377,236,613,142,140,282,2364,1182,153
1,537,668,1205,378,312,690,171,171,342,2237,1022,148
2,555,582,1137,322,269,591,148,146,294,2022,1028,95
3,694,809,1503,274,233,507,61,57,118,2128,1071,103
計,8023,9180,17203,3056,2148,5204,1421,1415,2836,25243,13356,1531
