種別,名称,所在地,指定年月日
有形文化財／絵画,板絵着色婦女群犬図,新島村本村十三社神社境内阿夫利神社,1958/10/7
有形文化財／絵画,英一蝶新島伝世資料（8幅）,新島村博物館,1958-10-07(指定)2014-03-25(追加指定)
有形文化財／彫刻,木造観世音菩薩立像,大島町郷土資料館,1958/10/7
有形文化財／彫刻,木造地造菩薩立像,大島町郷土資料館,1958/10/7
有形文化財／彫刻,木造兜跋毘沙門天立像,大島町郷土資料館,1958/10/7
有形文化財／彫刻,木造四天王立像（4躯）,大島町郷土資料館,1958/10/7
有形文化財／工芸品,小袖桔梗文金刺繍文字入総模様,大島町文化財収蔵庫,1958/10/7
有形文化財／工芸品,小袖松竹梅鶴亀繍文総模様,大島町文化財収蔵庫,1958/10/7
有形文化財／工芸品考古資料,銅鏡(菊花散双文),大島町野増大宮神社,1958/10/7
有形文化財／工芸品考古資料,銅鏡(花輪違鳥蝶文),大島町郷土資料館,1958/10/7
有形文化財／工芸品考古資料,銅鏡(松喰鶴鏡外2面),大島町郷土資料館,1958/10/7
有形文化財／工芸品考古資料,銅鏡(松喰鶴鏡外27面),利島村　堂山神社,1958-10-07(指定)1992-03-30(追加指定)
有形文化財／工芸品考古資料,銅鏡(松枝散双鳥鏡外8面),新島村本村十三社神社,1958/10/7
有形文化財／工芸品考古資料,銅鏡（松竹双鶴鏡外1面）,新島村本村十三社神社,1958/10/7
有形文化財／工芸品考古資料,銅鏡（山吹双鳥鏡外1面）,新島村式根島,1958/10/7
有形文化財／考古資料,渡浮根遺跡出土品（1括）,新島村博物館,1983/5/6
有形文化財／考古資料,式根島吹之江遺跡Ｃ地点出土品（1括）,新島村役場式根島支所新島村博物館,1988/2/22
有形文化財／古文書,天文21年修薬師供養法木札,大島町郷土資料館,1958/10/7
有形文化財／古文書,長栄寺歴祖次第（2巻）,新島村本村長栄寺,1958/10/7
有形文化財／古文書,新島島役所資料（925冊11通3括）,新島村博物館,1958/10/7
有形文化財／古文書,新島島役所資料（646冊394通9枚）,新島村本村,1958/10/7
有形文化財／古文書,新島十三社神社資料（134冊）,新島村本村十三社神社,1958/10/7
無形民俗文化財,吉谷神社の正月祭,大島町元町吉谷神社,1958/10/7
無形民俗文化財,岡田八幡神社の正月祭,大島町岡田八幡神社,1958/10/7
無形民俗文化財,利島八幡神社の流鏑馬,利島村阿豆佐和気命神社,1958/10/7
無形民俗文化財,新島の神楽,新島村本村十三社神社,1958/10/7
無形民俗文化財,獅子木遣,新島村本村十三社神社,1958/10/7
有形民俗文化財民俗資料,新島の島嶼生活用具211点,新島村博物館,1977/4/5
史跡,武田信道及び家臣供養塔並びに屋敷跡,大島町野増（供養塔）／大島町野増（屋敷跡）,1956/3/3
史跡,鉄砲場の岩陰遺跡,大島町泉津,1939/12/2
史跡,ケッケイ山遺跡,利島村,1958/10/7
史跡,原町の井戸,新島村本村,1958/10/7
史跡,上木甚兵衛墓及び三島勘左衛門石像,新島村本村共同墓地内,1958/10/7
史跡,大島下高洞遺跡,大島町元町,1986/3/10
史跡,利島阿豆佐和気命本宮境域,利島村,1987/2/24
史跡,利島大山小山神社境域,利島村,1987/2/24
史跡,利島下上神社境域,利島村,1987/2/24
史跡,吹之江遺跡,新島村式根島,1987/2/24
史跡,利島大石山遺跡,利島村,1988/2/22
史跡,大島竜の口遺跡,大島町野増,1958/10/7
史跡,神津島阿波命神社境域,神津島村,1958/10/7
旧跡,役行者窟,大島町泉津,1955/3/28
旧跡,秋広平六墓,大島町波浮港,1955/3/28
旧跡,天宥法印墓,新島村,1955/3/28
天然記念物,野増大宮のシイ樹叢,大島町野増大宮神社内,1939/12/2
天然記念物,差木地の大クス,大島町差木地,1939/12/2
天然記念物,春日神社のイヌマキ群叢,大島町差木地春日神社,1958/10/7
天然記念物,潮吹の鼻,大島町泉津,1939/12/2
天然記念物,おたいね浦の岩脈と筆島,大島町波浮港,1940/2/1
天然記念物,東要寺のイヌマキ,新島村式根島東要寺,1958/10/7
天然記念物,東要寺のナギ自生地,新島村式根島東要寺,1958/10/7
