国籍別,大島町,利島村,新島村,神津島村,計
韓国・朝鮮,10,0,1,0,11
中国,4,0,4,1,9
米国,3,0,1,1,5
フィリピン,4,0,1,0,5
その他,57,1,3,0,61
計,78,1,10,2,91
