町村名,漁業協同組合（地区名）,補償件数（人）
大島町,伊豆大島（泉津・岡田）,5
大島町,伊豆大島（野増・差木地・波浮港）,5
大島町,元町,0
利島村,利島村,0
新島村,にいじま（若郷）,6
新島村,にいじま（本村）,11
新島村,にいじま（式根島）,6
神津島村,神津島,63
合計,,96
