区分,羽数
オオコノハズク,4
チョウゲンボウ,2
キンクロハジロ,1
オオセグロカモメ,1
オナガガモ,1
トラツグミ,1
アオバト,1
ハヤブサ,2
オオバン,1
コジュケイ,2
フクロウ,3
ヒヨドリ,1
ハイタカ,1
キジバト,1
トビ,2
ツミ,1
ノスリ,3
マガモ,1
計,29
