町村別,工事種別,2014年度,2015年度,2016年度
大島町,新築,7,5,3
大島町,増改築,2,1,0
大島町,その他,6,2,5
大島町,小計,15,8,8
利島村,新築,0,0,0
利島村,増改築,0,0,0
利島村,その他,0,0,0
利島村,小計,0,0,0
新島村,新築,6,4,7
新島村,増改築,0,2,0
新島村,その他,1,1,4
新島村,小計,7,7,11
神津島村,新築,5,3,3
神津島村,増改築,0,0,0
神津島村,その他,3,0,5
神津島村,小計,8,3,8
合計,,30,18,27
