航空会社名,路線,４月,５月,６月,７月,８月,９月,10月,11月,12月,１月,２月,３月,2016年度計
定期便／新中央航空（株）,調布⇔大島就航機数,79,86,68,84,100,82,84,76,88,88,71,88,994
定期便／新中央航空（株）,就航率（％）,88.8,89.6,77.3,87.5,90.9,95.3,93.3,87.4,96.7,95.7,86.6,97.8,90.6
定期便／新中央航空（株）,乗降客数,1384,1468,1065,1544,2339,1536,1462,1423,1751,1602,1527,1934,19035
定期便／新中央航空（株）,利用率（％）,46.1,45.2,41.5,48.4,61.9,49.3,46.1,49.3,52.7,47.9,56.6,57.8,50.5
定期便／新中央航空（株）,定期便以外乗降客数,599,671,492,592,483,428,724,700,824,783,728,783,7807
定期便／新中央航空（株）,大島計,1983,2139,1557,2136,2822,1964,2186,2123,2575,2385,2255,2717,26842
定期便／新中央航空（株）,調布⇔新島就航機数,109,115,99,111,115,112,117,110,114,116,101,117,1336
定期便／新中央航空（株）,就航率（％）,93.2,94.3,85.3,91.7,92.7,96.6,97.5,94,94.2,95.1,91.8,96.7,93.6
定期便／新中央航空（株）,乗降客数,2520,2740,2559,2696,3192,2658,2938,2667,2840,2556,2393,2790,32549
定期便／新中央航空（株）,利用率（％）,60.8,62.7,68,63.9,73.4,62.5,65.7,63.8,65.8,58,62.4,63,64.2
定期便／新中央航空（株）,定期便以外乗降客数,34,22,20,73,56,22,56,27,83,32,77,64,566
定期便／新中央航空（株）,新島計,2554,2762,2579,2769,3248,2680,2994,2694,2923,2588,2470,2854,33115
定期便／新中央航空（株）,調布⇔神津島就航機数,73,81,66,72,98,78,83,79,84,84,73,87,958
定期便／新中央航空（株）,就航率（％）,79.3,82.7,73.3,72.7,89.1,86.7,89.2,87.8,90.3,90.3,86.9,93.5,85.2
定期便／新中央航空（株）,乗降客数,1492,1653,1242,1677,2535,1717,1967,1817,1833,1919,1716,2103,21671
定期便／新中央航空（株）,利用率（％）,53.8,53.4,49.1,61.3,67.7,57.9,61.6,60.1,57.1,60.1,61.9,63.2,59.3
定期便／新中央航空（株）,定期便以外乗降客数,24,6,18,72,36,26,14,24,22,26,16,28,312
定期便／新中央航空（株）,神津島計,1516,1659,1260,1749,2571,1743,1981,1841,1855,1945,1732,2131,21983
