港名,入港船舶／隻数,入港船舶／総トン数,乗降客数／乗客(人）,乗降客数／降客(人）,乗降客数／計(人）
若郷漁港,201,83425,4854,3794,8648
羽伏漁港,27,16845,0,0,0
野伏漁港,1551,2787657,24226,25117,49343
三浦漁港,331,608217,8052,8587,16639
合計,2110,3496144,37132,37498,74630
