分類,大島町／面積（ha）,大島町／金額（百万円）,利島村／面積（ha）,利島村／金額（百万円）,新島村／面積（ha）,新島村／金額（百万円）,神津島村／面積（ha）,神津島村／金額（百万円）,合計／面積（ha）,合計／金額（百万円）
農作物総計,233.3,369,162.2,41,23,108,17.2,109,435.7,627
内訳／野菜,23.1,110,8.9,6,21.3,89,12.9,75,66.2,280
内訳／果樹,2.3,9,－,－,0.2,1,0.5,3,3,13
内訳／工芸農作物,172.9,34,153.3,35,－,－,－,－,326.2,69
内訳／花き,27.9,216,－,－,1.6,18,3.7,31,33.2,265
