港名,入港船舶／隻数,入港船舶／総トン数,取扱貨物（トン）／出荷,取扱貨物（トン）／入荷,乗降客数（人）／乗客,乗降客数（人）／降客,乗降客数（人）／計
大島／元町港,1612,816391,18806,79560,67436,53331,120767
大島／岡田港,3178,3269941,10715,22583,173010,187053,360063
大島／波浮港,397,121260,4514,27576,0,0,0
大島／計,5187,4207592,34035,129719,240446,240384,480830
利島港,1219,2456865,4974,70250,5084,5683,10767
新島港,1461,2843067,14239,71337,23989,28377,52366
式根島港,0,0,0,0,0,0,0
神津島港,580,695889,4977,15439,18597,17267,35864
合計,8447,10203413,58225,286745,288116,291711,579827
