町村,2007年度（％）,2008年度（％）,2009年度（％）,2010年度（％）,2011年度（％）,2012年度（％）,2013年度（％）,2014年度（％）,2015年度（％）,2016年度（％）
大島町,17.1,15.8,15.4,13.2,14.4,13.6,15.7,12.5,15.1,16.9
利島村,17.2,11.6,8,5.4,6.4,5.3,7.7,6.7,5.6,4.7
新島村,7.5,7,6,4.1,7.1,7,11.5,12.5,11.6,13.5
神津島村,5.2,-0.7,0.6,1.4,1.5,1.6,6.1,7.1,6.6,6.4
都内町村平均,9.9,8.9,7.9,6.9,7.3,6.8,10.8,10,9.7,9.9
都内市町村平均,8.3,7.5,6.8,6.9,2.7,2.2,9.5,9,8.1,8.3
