区分,大島町,利島村,新島村,神津島村,合 計
乗用車／普通車／自家用,207,2,72,28,309
乗用車／普通車／営業用,12,0,3,2,17
乗用車／小型車／自家用,906,22,259,119,1306
乗用車／小型車／営業用,4,0,2,2,8
乗用車／計／自家用,1113,24,331,147,1615
乗用車／計／営業用,16,0,5,4,25
トラック／貸客車／自家用,128,0,87,15,230
トラック／貨客車／営業用,1,0,1,0,2
トラック／トラック／自家用,330,15,114,40,499
トラック／トラック／営業用,62,3,6,13,84
トラック／計／自家用,458,15,201,55,729
トラック／計／営業用,63,3,7,13,86
バス／一般乗合／自家用,0,0,0,0,0
バス／一般乗合／営業用,15,0,0,0,15
バス／その他／自家用,28,0,0,3,31
バス／その他／営業用,6,0,3,0,9
バス／計／自家用,28,0,0,3,31
バス／計／営業用,21,0,3,0,24
特殊用途車／自家用,162,11,55,33,261
特殊用途車／営業用,27,0,1,0,28
合計／自家用,1761,50,587,238,2636
合計／営業用,127,3,16,17,163
総計,1888,53,603,255,2799
