学校名,課程,学科,卒業者数,卒業者数（男性）,卒業者数（女性）,大学等進学者数,就職者数,専修学校各種学校,その他
都立大島高等学校,全日制,普通,43,13,30,13,10,18,2
都立大島高等学校,全日制,併合,10,7,3,2,7,1,0
都立大島高等学校,定時制,普通,2,1,1,0,2,0,0
都立大島海洋国際高等学校,全日制,国際,63,48,15,28,11,16,8
都立新島高等学校,全日制,普通,6,4,2,2,0,4,0
都立神津高等学校,全日制,普通,8,5,3,4,1,2,1
合計,,,132,78,54,49,31,41,11
