区分町村,路線名（整理番号）,区間,現道／延長（ｍ）,平現道／均総幅員（ｍ）,現道／面積（ｍ2）,規格改良延長（ｍ）,規格改良率（％）,歩道設置延長（ｍ）,歩道設置率（％）,舗装率（％）,摘要
大島町,大島公園線（都道207号）,自 大島町元町／至 大島町元町港,13738,8.3,114732,11506,83.8,2175,15.8,100,
大島町,大島循環線（都道208号）,自 大島町元町地の岡_大島公園線交点／至 大島町元町_大島公園線交点,43293,9.7,418455,43293,100,12514,28.9,100,
大島町,川の道岡田港線（都道209号）,自 大島町岡田川の道_大島循環線交点／至 大島町岡田港,1773,14.1,25101,1773,100,1396,78.7,100,
大島町,下地波浮港線（都道210号）,自 大島町差木地下地_大島循環線交点／至 大島町波浮港,1522,7.9,12040,1522,100,715,47,100,
大島町,計,,60326,,570328,58094,96.3,16800,27.8,100,
利島村,利島環状線（都道228号）,自 利島村利島港／至 利島村字郷,8803,6.7,58934,8716,99,0,0,100,
新島村,若郷新島港線（都道211号）,自 新島村若郷／至 新島村新島港,11778,11.4,133897,11778,100,3306,28.1,100,
新島村,式根島循環線（都道237号）,自 新島村／至 式根島字野伏同所,4630,7.2,33464,4630,100,50,1.1,100,
新島村,計,,16408,,167361,16408,100,3356,20.5,100,
神津島村,神戸山多幸線（都道224号）,自 神津島村長浜／至 神津島村多幸,12669,10.2,118523,12669,100,1718,13.6,100,
合計,,,98206,,915146,95887,97.6,21874,22.3,100,
