区分,大島町,利島村,新島村,神津島村
行政区域内人口（人）,7880,320,2724,1894
下水道・集落排水事業加入世帯数,-,-,728,710
全世帯数,-,-,1368,884
汲取し尿及び浄化槽汚泥収集／年間収集量／汲取し尿（kl）,1053,0,110,201
汲取し尿及び浄化槽汚泥収集／年間収集量／浄化槽汚泥（kl）,8520,609,1468,355
汲取し尿及び浄化槽汚泥収集／年間収集量／計（kl）（Ａ）,9573,609,1578,556
汲取し尿及び浄化槽汚泥収集／一日収集量(A/365)(kl),26.2,1.8,4.3,1.5
汲取し尿及び浄化槽汚泥収集／年間処理内訳／施設（kl）（B）,9573,-,-,556
汲取し尿及び浄化槽汚泥収集／年間処理内訳／施設処理率(B/A)(%),100,-,-,100
汲取し尿及び浄化槽汚泥収集／年間処理内訳／埋立(kl),-,609,1578,-
汲取し尿及び浄化槽汚泥収集／年間処理内訳／農村還元(kl),-,-,-,-
汲取し尿及び浄化槽汚泥収集／年間処理内訳／その他(kl),-,-,-,-
