震度,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
震度1,0,0,0,1,1,0,4,1,0,0,2,0,9
震度2,0,0,0,0,0,0,1,0,0,0,0,0,1
震度3,0,0,0,0,0,0,0,0,0,0,0,0,0
月別合計  ,0,0,0,1,1,0,5,1,0,0,2,0,10
