地区別,2017年（人）,2016年（人）,2015年（人）,2014年（人）,2013年（人）,2012年（人）
大 島,452800,458505,420082,378922,413099,368790
利 島,15023,13958,15390,14981,13877,12926
新 島,68317,65032,61278,57012,54303,65615
式根島,53433,49343,48214,47340,50502,65026
神津島,70255,62042,60184,57850,61609,58741
計,659828,648880,605148,556105,593390,571098
