区分,大島町,利島村,新島村,神津島村,管内計
乳用雌牛／成牛,21,0,0,0,21
乳用雌牛／育成牛,13,0,0,0,13
乳用雌牛／子牛,0,0,0,0,0
乳用雌牛／頭数計,34,0,0,0,34
乳用雌牛／戸数,1,0,0,0,1
肉用牛／頭数,0,0,0,0,0
肉用牛／戸数,0,0,0,0,0
馬／頭数,16,0,1,0,17
馬／戸数,3,0,1,0,4
山羊／頭数,0,0,0,1,1
山羊／戸数,0,0,0,1,1
採卵鶏／頭数,935,0,300,51,1286
採卵鶏／戸数,6,0,1,1,8
