町村,施設／公民館,施設／図書館,施設／文化会館,機関／スポーツ推進委員,機関／社会教育委員,機関／青少年委員,機関／文化財審議会委員,機関／公民館運営審議会委員
大島町,4,1,1,15,3,7,8,3
利島町,-,-,-,-,-,-,4,-
新島町,-,-,-,6,-,6,5,-
神津島村,-,1,-,3,-,2,4,-
計,4,2,1,24,3,15,21,3
