区分,件名,工事請負費（千円）,委託料（千円）,計（千円）,摘 要
自然公園管理費,海のふるさと村清掃委託,,22894,22894,
自然公園管理費,大島公園椿園管理委託,,90180,90180,
自然公園管理費,大島公園浄化槽保守点検清掃委託,,5568,5568,
自然公園管理費,新島羽伏浦公園管理委託,,4644,4644,
自然公園管理費,新島・式根島自然公園施設維持工事（単価契約）,2964,66,3030,
自然公園管理費,新島・式根島自然公園設備維持工事（単価契約）,2196,271,2467,
自然公園管理費,神津島自然公園施設維持工事(単価契約）,2994,422,3416,
自然公園管理費,大島公園マツノザイセンチュウ防除作業委託,,5151,5151,
自然公園管理費,海のふるさと村ロッジボイラー交換工事(緊急施工),4860,,4860,
自然公園管理費,その他の工事請負費及び委託料,21955,187701,209656,
自然公園管理費,計,34969,316897,351866,
自然公園整備費,大島公園椿プラザ天幕等設置工事施工監理委託,,3693,,
自然公園整備費,大島トウシキ園地施設改修設計,,1458,,
自然公園整備費,大島集団施設地区警戒避難体制見直しに伴う確認調査委託,,6253,,
自然公園整備費,海のふるさと村取付道路改修設計,,3240,,
自然公園整備費,大島集団施設地区（北園）施設調書作成委託,,2214,,
自然公園整備費,大島公園施設改修工事施工監理委託,,1296,,
自然公園整備費,羽伏浦園地休憩舎改修設計,,626,,
自然公園整備費,大島公園椿プラザ天幕等設置工事,47555,,,
自然公園整備費,大島公園施設改修工事,28095,,,
自然公園整備費,大島オタイネ浜園地便所改修工事,33841,,,
自然公園整備費,海のふるさと村施設改修工事,4968,,,
自然公園整備費,海のふるさと村取付道路改修工事,23464,,,
自然公園整備費,計,137923,18780,156703,
外来生物対策事業費,大島キョン防除委託(単価契約) 北部地区,,54025,,
外来生物対策事業費,大島キョン防除委託(単価契約) 南部地区,,46995,,
外来生物対策事業費,大島キョン防除委託(単価契約) 南部地区 その２,,6997,,
外来生物対策事業費,大島キョン地籍調査承諾業務委託,,14580,,
外来生物対策事業費,大島キョン防除委託（市街地周辺地域）,,32575,,
外来生物対策事業費,大島キョン防除委託（高密度地域）,,46440,,
外来生物対策事業費,大島キョン囲い込み柵設置工事（単価契約）,61315,,,
外来生物対策事業費,計,61315,201612,262927,
