町村,世帯数,人口／計,人口／男,人口／女,女100に対する男（％）,一世帯当たり人口,人口密度（1km2当たり）,対前年
大島町／元町,1450,2531,1290,1241,103.9,1.75,196,-48
大島町／北の山,776,1414,678,736,92.1,1.82,200,-19
大島町／岡田,452,846,408,438,93.2,1.87,108,-21
大島町／泉津,213,359,172,187,92,1.69,16,-11
大島町／野増,307,486,248,238,104.2,1.58,26,-15
大島町／差木地,1080,1714,933,781,119.5,1.59,84,-18
大島町／波浮港,474,665,386,279,138.4,1.4,369,-17
大島町／計,4752,8015,4115,3900,105.5,1.69,88,-149
利島村,173,315,168,147,114.3,1.82,76,1
新島村／本村,935,1922,922,1000,92.2,2.06,104,-49
新島村／若郷,146,303,153,150,102,2.08,56,-8
新島村／式根島,280,528,251,277,90.6,1.89,135,-8
新島村／計,1361,2753,1326,1427,92.9,2.02,99,-65
神津島村,896,1878,955,923,103.5,2.1,100,-50
合 計,7182,12961,6564,6397,102.6,1.8,91,-263
