区分,総数,大島町,利島村,新島村,神津島村
犬の捕獲収容,3,2,-,1,-
引き取り／犬,-,-,-,-,-
引き取り／猫,27,18,-,2,7
負傷動物収容,6,4,-,-,2
野犬駆除,-,-,-,-,-
収容動物返還,3,2,-,1,-
特定動物／許可,1,1,-,-,-
特定動物／廃止,-,-,-,-,-
咬傷事故,1,1,-,-,-
苦情及び相談等,111,70,-,23,18
