島名,事業項目,事業細々目,箇所名,施工地又は受益地,事業主体,着工年度,完了年度,全体計画／事業費（単位：千円）,全体計画／国費（単位：千円）
大島,治山,復旧治山,八重沢,元町,都,2015,2020,356720,196196
大島,治山,復旧治山,佐久川,元町,都,2018,2021,124518,68484
大島,治山,治山計,,,,,,481238,264680
大島,港湾,地方港湾,元町港,元町,都,1986,2031,16591993,12123002
大島,港湾,港湾計,,,,,,16591993,12123002
大島,空港,土木工事,大島空港,北の山,都,2020,2021,552000,441600
大島,空港,空港計,,,,,,552000,441600
大島,農業農村整備,農村地域防災減災事業,沢立・滝川,大島町内,町,2020,2020,4000,4000
大島,農業農村整備,農村地域防災減災事業,滝川,差木地,町,2016,2019,61700,33935
大島,農業農村整備,農業農村整備計,,,,,,65700,37935
大島,水産基盤,水産生産,岡田漁港,岡田,都,2001,2020,941713,713939
大島,水産基盤,水産基盤計,,,,,,941713,713939
大島,廃棄物処理,"施設整備に関する
計画支援",大島町,大島町内,町,2018,2020,39000,13000
大島,廃棄物処理,浄化槽設置整備,大島町,大島町内,町,2016,2020,60150,30075
大島,廃棄物処理,廃棄物処理計,,,,,,99150,43075
大島,"社会資本整備
総合交付金",都道（特殊改良）,大島循環線,泉津,都,2015,2022,831000,415500
大島,"社会資本整備
総合交付金",都道（特殊改良）,大島循環線,間伏・差木地,都,2014,2022,403000,201500
大島,"社会資本整備
総合交付金",地方港湾,岡田港,岡田,都,2009,2022,363310,217986
大島,"社会資本整備
総合交付金","地域住宅計画に
基づく事業",差木地,差木地,町,2020,2020,35000,15750
大島,"社会資本整備
総合交付金",社会資本整備総合交付金計,,,,,,1632310,850736
大島,防災・安全交付金,道路事業,大島循環線,大島全域,都,2019,2023,191000,95500
大島,防災・安全交付金,地方港湾,岡田港,岡田,都,2012,2021,481142,240571
大島,防災・安全交付金,,波浮港,波浮港,都,2004,2042,24553473,19642778
大島,防災・安全交付金,火山砂防,差木地沢,差木地,都,2010,2024,3069000,1687950
大島,防災・安全交付金,,滝川沢,野増,都,2011,2020,1900000,1045000
大島,防災・安全交付金,,大金沢,元町,都,1990,2026,10977000,6037350
大島,防災・安全交付金,,佐久川,元町,都,2017,2029,1354000,744700
大島,防災・安全交付金,"海岸堤防等老朽化
対策緊急事業",波浮港,波浮港,都,2019,2022,550000,302500
大島,防災・安全交付金,防災・安全交付金計,,,,,,43075615,29796349
大島,農山漁村地域整備交付金,水利施設整備事業,大滝,波浮港,町,2019,2023,126000,69300
大島,農山漁村地域整備交付金,農村地域防災減災事業,滝川,差木地,町,2016,2019,61700,33935
大島,農山漁村地域整備交付金,農山漁村地域整備交付金計,,,,,,187700,103235
大島,大島計,,,,,,,63627419,44374551
利島,港湾,地方港湾,利島港,前浜,都,1991,2021,16913951,12409084
利島,港湾,港湾計,,,,,,16913951,12409084
利島,"社会資本整備
総合交付金",地方港湾,利島港,前浜,都,2004,2022,3111540,2251232
利島,"社会資本整備
総合交付金",社会資本整備総合交付金計,,,,,,3111540,2251232
利島,防災・安全交付金,地方港湾,利島港,前浜,都,2008,2021,7355000,5687500
利島,防災・安全交付金,防災・安全交付金計,,,,,,7355000,5687500
利島,利島計,,,,,,,27380491,20347816
新島,治山,復旧治山,新島山,新島山,都,2018,2021,493000,271150
新島,治山,治山計,,,,,,493000,271150
新島,港湾,地方港湾,新島港,前浜,都,1980,2022,13962809,10625859
新島,港湾,港湾計,,,,,,13962809,10625859
新島,水産基盤,水産生産,羽伏漁港,羽伏,都,2013,2022,5356000,3818500
新島,水産基盤,水産生産,若郷漁港,若郷,都,2013,2022,1896000,1462800
新島,水産基盤,水産基盤計,,,,,,7252000,5281300
新島,社会資本整備総合交付金,地方港湾,新島港,前浜,都,2009,2031,3163000,2465400
新島,社会資本整備総合交付金,港湾計,,,,,,3163000,2465400
新島,社会資本整備総合交付金,下水道,本村地区,本村地区,村,2000,2025,4748741,2187891
新島,社会資本整備総合交付金,下水道計,,,,,,4748741,2187891
新島,社会資本整備総合交付金,社会資本整備総合交付金計,,,,,,7911741,4653291
新島,防災・安全交付金,地方港湾,新島港,前浜,都,2012,2019,1114566,729407
新島,防災・安全交付金,浸食対策事業,新島港,前浜,都,2008,2019,2510000,1380500
新島,防災・安全交付金,海岸堤防等老朽化対策緊急事業,新島港,前浜,都,2019,2023,900000,495000
新島,防災・安全交付金,防災・安全交付金計,,,,,,4524566,2604907
新島,農山漁村地域整備交付金,農業基盤整備促進事業,久田巻,若郷,村,2017,2020,138498,76173
新島,農山漁村地域整備交付金,漁業集落環境整備事業,若郷漁港,若郷,都,2016,2020,643090,368727
新島,農山漁村地域整備交付金,侵食対策事業,若郷漁港,若郷,都,2014,2026,1888000,1038400
新島,農山漁村地域整備交付金,農山漁村地域整備交付金計,,,,,,2669588,1483300
新島,新島計,,,,,,,36813704,24919807
式根島,水産基盤,水産生産,野伏漁港,式根島,都,2017,2026,1627000,1301600
式根島,水産基盤,水産基盤計,,,,,,1627000,1301600
式根島,社会資本整備総合交付金,下水道,式根島地区,式根島,村,2017,2031,3798273,1253670
式根島,社会資本整備総合交付金,下水道計,,,,,,3798273,1253670
式根島,式根島計,,,,,,,5425273,2555270
神津島,港湾,地方港湾,神津島港,前浜,都,2003,2029,17587826,13190870
神津島,港湾,港湾計,,,,,,17587826,13190870
神津島,水産基盤,機能保全,三浦漁港,船戸ヶ沢,都,2018,2022,1115000,892000
神津島,水産基盤,水産生産,三浦漁港,船戸ヶ沢,都,2017,2026,2054000,1698032
神津島,水産基盤,水産基盤計,,,,,,3169000,2590032
神津島,廃棄物処理,焼却施設,神津島村,神津島村,村,2017,2022,2086641,548880
神津島,廃棄物処理,"マテリアルリサイクル
推進施設",神津島村,神津島村,村,2017,2022,111661,37220
神津島,廃棄物処理,浄化槽設置整備,神津島村,神津島村,村,2016,2020,3000,1500
神津島,廃棄物処理,廃棄物処理計,,,,,,2201302,587600
神津島,社会資本整備総合交付金,海岸環境整備事業,沢尻・長浜海岸,長浜,都,2020,2024,400000,133333
神津島,社会資本整備総合交付金,地域住宅計画に基づく事業,神津島村,鉄砲場,村,2020,2020,315843,142129
神津島,社会資本整備総合交付金,地域住宅計画に基づく事業,神津島村,鉄砲場,村,2020,2020,2739,1232
神津島,社会資本整備総合交付金,社会資本整備総合交付金計,,,,,,718582,276694
神津島,防災・安全交付金,地方港湾,神津島港,前浜,都,2009,2020,1186800,791200
神津島,防災・安全交付金,高潮対策事業,神津島港,前浜,都,2011,2022,2700000,1485000
神津島,防災・安全交付金,地域住宅計画に基づく事業,宮原,宮原,村,2020,2020,15666,7049
神津島,防災・安全交付金,防災・安全交付金計,,,,,,3902466,2283249
神津島,農山漁村地域整備交付金,農業基盤整備促進事業,焼山,焼山,村,2017,2019,34000,18700
神津島,農山漁村地域整備交付金,農業集落排水事業,神津島村,神津島村,村,2019,2019,7300,5000
神津島,農山漁村地域整備交付金,農山漁村地域整備交付金計,,,,,,41300,23700
神津島,神津島計,,,,,,,27620476,18952145
