年度,小学校／大島町,小学校／利島村,小学校／新島村,小学校／神津島村,小学校／小計,中学校／大島町,中学校／利島村,中学校／新島村,中学校／神津島村,中学校／小計,合計
1999,524,21,161,178,884,304,7,91,105,507,1391
2000,522,18,165,170,875,293,7,80,103,483,1358
2001,481,20,152,139,792,271,6,74,110,461,1253
2002,466,16,146,133,761,244,6,78,89,417,1178
2003,440,13,134,123,710,242,7,73,89,411,1121
2004,412,13,135,126,686,248,9,69,67,393,1079
2005,407,14,130,129,680,246,9,71,73,399,1079
2006,385,10,125,123,643,223,9,75,70,377,1020
2007,396,8,128,121,653,191,5,68,65,329,982
2008,412,8,129,120,669,186,6,56,54,302,971
2009,432,9,134,122,697,174,4,50,47,275,972
2010,446,14,149,118,727,165,5,57,54,281,1008
2011,421,12,158,124,715,182,5,58,57,302,1017
2012,391,13,157,130,691,187,5,63,66,321,1012
2013,362,21,159,124,666,205,5,57,57,324,990
2014,357,16,147,118,638,189,6,63,56,314,952
2015,351,25,125,120,621,194,3,66,53,316,937
2016,334,28,115,115,592,182,3,84,55,324,916
2017,325,25,106,104,560,180,4,76,57,317,877
