区分,大島町,利島村,新島村,神津島村,合 計
原動機付自転車（50cc以下）,8,1,7,11,27
原動機付自転車（50cc以下）（うち、非課税車自動車）,568,28,300,639,1535
自動二輪車（50cc超）,5,0,5,0,10
自動二輪車（50cc超）（うち、非課税車自動車）,516,8,125,113,762
小型特殊自動車,8,1,8,5,22
小型特殊自動車（うち、非課税車自動車）,226,3,71,28,328
軽自動車／貨物,73,0,54,37,164
軽自動車／貨物（うち、非課税車自動車）,2394,1,960,587,3942
軽自動車／乗用,16,18,10,5,49
軽自動車／乗用（うち、非課税車自動車）,3042,246,948,526,4762
軽自動車／計,89,18,64,42,213
軽自動車／計（うち、非課税車自動車）,5436,247,1908,1113,8704
合計,110,20,84,58,272
合計（うち、非課税車自動車）,6746,286,2404,1893,11329
