就航状況（東京～各島間）,ジェットフォイル／就航予定便数,ジェットフォイル／就航便数,ジェットフォイル／欠航便数,ジェットフォイル／就航率（％）,在来船／就航予定便数,在来船／就航便数,在来船／欠航便数,在来船／就航率（％）
大島,2389,2272,117,95.1,554,544,10,98.2
利島,460,294,166,63.9,554,444,110,80.1
新島,581,497,84,85.5,554,518,36,93.5
式根島,583,498,85,85.4,554,526,28,94.9
神津島,506,458,48,90.5,554,532,22,96
横浜,－,－,－,－,130,129,1,99.2
