分類,大島町／面積（ha）,大島町／金額（百万円）,利島村／面積（ha）,利島村／金額（百万円）,新島村／面積（ha）,新島村／金額（百万円）,神津島村／面積（ha）,神津島村／金額（百万円）,合計／面積（ha）,合計／金額（百万円）
農作物総計,229.9,369,161.9,71,22.9,105,17.2,93,431.9,638
内訳／野菜,22.6,106,8.8,6,21.2,89,12.9,72,65.5,273
内訳／果樹,2.2,9,－,－,0.5,3,0.5,1,3.2,13
内訳／工芸農作物,170.6,33,153,65,－,－,0.2,1,323.8,99
内訳／花き,27.9,221,－,－,1.3,14,3.6,19,32.8,254
