地域,割合（％）
大島町,37.4
利島村,24.1
新島村,39.6
神津島村,30.0
大島支庁,36.4
三宅支庁,36.8
八丈島支庁,38.6
小笠原支庁,15.6
島部,35.5
全国,28.2
全都,22.6
区部,21.5
市部,24.8
町村部,33.6
