航空会社名,路線,４月,５月,６月,７月,８月,９月,10月,11月,12月,１月,２月,３月,2018年度計
定期便／新中央航空（株）,調布⇔大島就航機数,84,74,49,64,68,58,64,60,65,68,56,61,771
定期便／新中央航空（株）,就航率（％）,98.8,85.1,70,97,94.4,89.2,100,96.8,100,100,96.6,98.4,93.6
定期便／新中央航空（株）,乗降客数,1703,1507,1016,1489,1963,1344,1503,1364,1469,1205,1137,1503,17203
定期便／新中央航空（株）,利用率（％）,53.4,53.6,55.1,61.2,76,61,61.8,60.3,59.5,46.6,53.4,64.8,58.8
定期便／新中央航空（株）,定期便以外乗降客数,169,215,212,346,250,124,228,256,282,342,294,118,2836
定期便／新中央航空（株）,大島計,1872,1722,1228,1835,2213,1468,1731,1620,1751,1547,1431,1621,20039
定期便／新中央航空（株）,調布⇔新島就航機数,117,106,83,93,98,75,83,76,83,87,83,93,1077
定期便／新中央航空（株）,就航率（％）,97.5,89.8,79.8,96.9,95.1,90.4,100,96.2,98.8,100,96.5,100,95.8
定期便／新中央航空（株）,乗降客数,2896,3149,2543,2899,3172,2413,2677,2522,2605,2657,2469,2861,32863
定期便／新中央航空（株）,利用率（％）,65.1,78.2,80.6,82,85.2,84.7,84.9,87.3,82.6,80.4,78.3,81,80.3
定期便／新中央航空（株）,定期便以外乗降客数,30,16,50,60,56,22,20,26,20,26,18,5,349
定期便／新中央航空（株）,新島計,2926,3165,2593,2959,3228,2435,2697,2548,2625,2683,2487,2866,33212
定期便／新中央航空（株）,調布⇔神津島就航機数,83,75,51,64,67,57,64,61,65,67,63,83,800
定期便／新中央航空（株）,就航率（％）,93.3,80.6,70.8,97,93.1,89.1,100,96.8,100,98.5,95.5,100,92.4
定期便／新中央航空（株）,乗降客数,1827,1960,1329,1994,2066,1625,1926,1859,1843,1830,1617,2257,22133
定期便／新中央航空（株）,利用率（％）,57.9,68.8,68.6,82,81.1,75,79.2,82.2,74.6,71.9,68.1,71.6,73
定期便／新中央航空（株）,定期便以外乗降客数,4,0,0,24,56,29,8,11,4,2,14,0,152
定期便／新中央航空（株）,神津島計,1831,1960,1329,2018,2122,1654,1934,1870,1847,1832,1631,2257,22285
