町村名,認証農産物,認証区分,認証者数
利島村,食用つばき（種子）,東京エコ100,40
利島村,しどけ（モミジガサ）,東京エコ100,17
新島村,アシタバ,東京エコ100,2
新島村,ミニトマト・トマト・パッションフルーツ・ルッコラ,東京エコ100,1
新島村,レタス・非結球レタス・タマネギ,東京エコ25,2
新島村,サツマイモ・ラッキョウ,東京エコ25,1
