町村名,対象,人員／児童・生徒,人員／教職員,人員／その他,人員／合計
大島町,小学校3校,318,59,－,377
大島町,中学校3校,147,55,－,202
大島町,大島町立学校給食センター,－,－,28,28
利島村,小学校1校,21,11,－,32
利島村,中学校1校,15,14,－,29
新島村,小学校2校,115,33,－,148
新島村,中学校2校,62,34,－,96
新島村,本村・式根島学校給食共同調理所（新島）,－,－,4,4
新島村,本村・式根島学校給食共同調理所（式根島）,－,－,3,3
新島村,本村・式根島学校給食共同調理所（合計）,－,－,7,7
神津島村,小学校1校,110,18,－,128
神津島村,中学校1校,55,17,－,72
神津島村,神津島村立学校給食共同調理場,－,－,9,9
合計,小学校,564,121,－,685
合計,中学校,279,120,－,399
合計,給食センター等,－,－,44,44
合計,計,843,241,44,1128
