分類,大島町／面積（ha）,大島町／金額（百万円）,利島村／面積（ha）,利島村／金額（百万円）,新島村／面積（ha）,新島村／金額（百万円）,神津島村／面積（ha）,神津島村／金額（百万円）,合計／面積（ha）,合計／金額（百万円）
農作物総計,232.8,373,162,27,23.3,110,17.1,109,435.2,619
内訳／野菜,23,109,8.8,6,21.2,89,12.9,75,65.9,279
内訳／果樹,2.2,9,－,－,0.5,4,0.5,3,3.2,16
内訳／工芸農作物,172.9,34,153.3,20,－,－,－,－,326.2,54
内訳／花き,27.9,221,－,－,1.6,17,3.7,31,33.2,269
