区分,大島町,利島村,新島村,神津島村,計
転入／男,268,24,64,59,415
転入／女,165,12,55,52,284
転入／計,433,36,119,111,699
転出／男,314,18,55,46,433
転出／女,179,15,62,47,303
転出／計,493,33,117,93,736
出生／男,23,3,7,10,43
出生／女,22,1,7,7,37
出生／計,45,4,14,17,80
死亡／男,56,1,16,10,83
死亡／女,64,0,30,9,103
死亡／計,120,1,46,19,186
乳児死亡（再掲）,0,-,-,-,0
死産／自然,1,-,-,-,-
死産／人工,0,-,-,-,0
死産／計,1,-,-,-,1
婚 姻,22,1,10,8,41
離 婚,12,0,3,6,21
