車種,大島（台）,利島（台）,新島（台）,神津島（台）,合計（台）
ダンプ／2t,36,4,9,5,54
ダンプ／3t,3,1,4,1,9
ダンプ／4t,43,1,9,14,67
ダンプ／8t,3,0,0,0,3
ダンプ／10t,36,4,7,7,54
ダンプ／11t,6,0,0,0,6
ダンプ小計,127,10,29,27,193
トラック（平床）／1t,6,0,6,3,15
トラック（平床）／1.5t,3,0,1,0,4
トラック（平床）／2t,6,0,6,1,13
トラック（平床）／4t,16,2,10,8,36
トラック（平床）／6t,1,0,0,0,1
トラック（平床）／8t,3,1,1,1,6
トラック（平床）／11t,9,0,4,2,15
トラック（平床）／32t,0,11,0,2,13
トラック小計,44,14,28,17,103
ブルドーザー,6,0,0,1,7
ペーローダー,75,4,22,17,118
パワーシャベル,153,8,25,51,237
クレーン車,21,2,13,10,46
コンプレッサー,21,1,9,11,42
ローラー,22,1,3,9,35
グレーダー,1,0,0,0,1
ミキサー車,33,2,17,14,66
パイプレーダー,11,6,3,30,50
ドーザーシャベル,0,0,0,0,0
ブレーカー,59,4,12,26,101
トラクター,14,1,2,0,17
その他小計,416,29,106,169,720
合計,587,53,163,213,1016
