月,着陸回数／新中央航空,着陸回数／その他,着陸回数／減免,着陸回数／合計,使用料／着陸料／大型(6ｔ以上)（円）,使用料／着陸料／小型(6ｔ未満)（円）,使用料／着陸料／計（円）,使用料／停留料／機数,使用料／停留料／金額（円）,使用料／合計（円）
4,110,9,12,131,18839,9000,27839,0,0,27839
5,112,13,7,132,18032,13000,31032,3,2430,33462
6,111,5,5,121,17871,5000,22871,0,0,22871
7,122,13,1,136,19642,13000,32642,1,1650,34292
8,121,4,11,136,19481,4000,23481,1,1650,25131
9,109,10,12,131,17549,10000,27549,0,0,27549
10,101,3,6,110,16261,3000,19261,0,0,19261
11,121,6,6,133,22868,6000,28868,1,1620,30488
12,122,7,10,139,20771,7000,27771,1,810,28581
1,117,4,6,127,18837,4000,22837,0,0,22837
2,110,4,2,116,18839,4000,22839,0,0,22839
3,111,10,6,127,19000,10000,29000,0,0,29000
計,1367,88,84,1539,227990,88000,315990,7,8160,324150
