島別,大島／2018年（人）,大島／2017年（人）,利島／2018年（人）,利島／2017年（人）,新島／2018年（人）,新島／2017年（人）,式根島／2018年（人）,式根島／2017年（人）,神津島／2018年（人）,神津島／2017年（人）,計／2018年（人）,計／2017年（人）,前年対比（％）
1月,15159,15570,553,481,3039,2172,513,447,1778,1857,21042,20527,102.5
2月,23438,26459,419,467,3171,2128,526,470,1518,1749,29072,31273,93
3月,31792,36003,482,565,3897,2917,1021,886,2436,2585,39628,42956,92.3
4月,15564,14684,605,611,4608,3199,1379,915,2687,2247,24843,21656,114.7
5月,19442,18637,918,1114,6651,5784,1863,2187,4026,4849,32900,32571,101
6月,16114,16198,221,619,4203,3406,1035,1205,2196,2532,23769,23960,99.2
7月,20530,21367,1106,1140,7631,6613,4670,5221,6322,7163,40259,41504,97
8月,29658,30305,1231,1352,13407,11362,8518,9527,11864,13046,64678,65592,98.6
9月,19037,17396,923,759,6778,4545,3991,2973,5812,4643,36541,30316,120.5
10月,17756,14491,656,455,3596,2601,1500,763,2649,2164,26157,20474,127.8
11月,18132,16444,670,665,2855,3256,984,1023,2406,2479,25047,23867,104.9
12月,16854,16432,433,541,2539,2564,685,684,2049,2140,22560,22361,100.9
計,243476,243986,8217,8769,62375,50547,26685,26301,45743,47454,386496,377057,102.5
前年対比（％）,99.8,,93.7,,123.4,,101.5,,96.4,,102.5,,
