施設,大島／元町漁港1種,大島／岡田漁港1種,大島／野増漁港1種,大島／差木地漁港1種,大島／泉津漁港1種,新島／羽伏漁港1種,式根島／若郷漁港1種,式根島／野伏漁港1種,式根島／小浜漁港1種,神津島／三浦漁港４種
防波堤（ｍ）,568,330,349,255,149,457,697,70,149,475
岸壁・物揚場（ｍ）,200.3,284,140,107,86.5,450,544,586,203,935
船揚場（ｍ2）,3460,4532,2253,1720,2454,1600,4916,2004,2756,3970
