町村名,所在地,施設名,施工年度,規模／構造,規模／面積(m2)
大島町,野田浜,便所シ,2014,鉄筋コンクリート,53.32
大島町,泉浜,便所シ,2009,鉄筋コンクリート,29.82
大島町,トウシキ（野営場）,便所シ,1985,鉄筋コンクリート,15.1
大島町,トウシキ（野営場）,炊事舎,1992,木造（ステンレス張）,33.12
大島町,トウシキ（野営場）,火たき場,1992,木造（ステンレス張）,33.12
大島町,トウシキ（野営場）,休憩舎,2007,鉄骨造,55.56
大島町,トウシキ（園地）,駐車場,1986,芝生,811
大島町,トウシキ（園地）,休憩所,2006,鉄筋コンクリート,126.99
大島町,トウシキ（園地）,便所,1986・1987,鉄筋コンクリート,12.32・12.32
大島町,トウシキ（園地）,遊具施設,1987,6基,
大島町,トウシキ（園地）,擬木柵,1987,Ｌ＝444ｍ,
大島町,オタイネ浜,休憩所,2016,鉄筋コンクリート,44
大島町,オタイネ浜,便所シ,2016,鉄筋コンクリート,51
大島町,御神火茶屋,休憩所,1974,鉄筋コンクリート,17.98
大島町,御神火茶屋,便所,1995,鉄筋コンクリート,22.5
大島町,御神火茶屋,展望避難休憩所,2012,鉄筋コンクリート（2階）,171.32
大島町,火口茶屋,展望休憩舎,1996,鉄筋コンクリート（2階）,49.16
大島町,仲の原,便所,2002,鉄筋コンクリート,37.24
大島町,仲の原,四阿,2000・2017,木造,16.0・16.0
大島町,仲の原,パーゴラ,2000,木造,43.56
大島町,仲の原,テントシェルター,2017,鉄骨造,9.3・9.3・9.3・9.3
大島町,ヨウゴシ岬,便所,2003,鉄筋コンクリート,27.59
新島村／新島,羽伏浦（園地）,休憩舎,1993,鉄筋コンクリート,112
新島村／新島,羽伏浦（園地）,休憩舎,2001,鉄筋コンクリート,50.72
新島村／新島,羽伏浦（園地）,便所,1992,鉄筋コンクリート,56.72
新島村／新島,羽伏浦（園地）,便所シ,1999,鉄筋コンクリート,89.28
新島村／新島,羽伏浦（野営場）,炊事舎,2004,木造一部鉄骨造,32
新島村／新島,羽伏浦（野営場）,便所,1994,鉄筋コンクリート,56.72
新島村／新島,羽伏浦（野営場）,便所,2017,木造,25.6
新島村／新島,羽伏浦（野営場）,管理棟,2017,木造,10.08
新島村／新島,若郷,便所,2002,コンクリートブロック造（一部木造）,53.84
新島村／新島,和田浜,便所,1979,鉄筋コンクリート,32
新島村／新島,前浜,便所シ,1996,鉄筋コンクリート,68
新島村／新島,前浜,便所シ,2007,鉄筋コンクリート,40.88
新島村／新島,間々下,便所,2013,鉄筋コンクリート,15.12
新島村／式根島,地鉈,便所,2013,鉄筋コンクリート,15.12
新島村／式根島,釜の下,便所,1984,鉄筋コンクリート,17.78
新島村／式根島,大浦,休憩所,2008,鉄筋コンクリート,29.98
新島村／式根島,大浦,便所,2003,鉄筋コンクリート,50
新島村／式根島,大浦,炊事舎,2003,鉄筋コンクリート,36
新島村／式根島,中の浦,便所,2010,鉄筋コンクリート,14.85
新島村／式根島,泊,便所,2000,型枠コンクリートブロック造,54.85
新島村／式根島,カンビキ,便所,2013,鉄骨造,6.87
神津島村,長浜,休憩舎,2001,鉄筋コンクリート,66.9
神津島村,長浜,便所シ,1997,鉄筋コンクリート,56.4
神津島村,長浜,炊事舎,1996,鉄筋コンクリート,29.8
神津島村,沢尻,便所シ,2003,鉄筋コンクリート,35.35
神津島村,沢尻,炊事舎,2001,鉄筋コンクリート,26.25
神津島村,沢尻,休憩舎,2001,鉄筋コンクリート,33.77
神津島村,前浜,便所シ,2009,鉄筋コンクリート,38.43
神津島村,前浜,便所シ,2006,鉄筋コンクリート,44.15
神津島村,多幸湾,炊事舎,1996,木造,96
神津島村,多幸湾,休憩舎,1996,木造,94
神津島村,多幸湾,便所,2009,木造,47.39
神津島村,多幸湾,サービスセンター,2012,木造,209
神津島村,天上山,便所,1993,木造,22.64
