区分,1989年,1993年,1998年,2003年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年
大島,773,676,541,440,407,385,396,412,432,446,421,391,362,357,351,334,325,337,323
新島,284,236,192,134,130,125,128,129,134,149,158,157,159,147,125,115,106,115,115
神津島,266,230,158,123,129,123,121,120,122,118,122,130,124,118,120,115,104,105,112
利島,34,17,22,13,14,10,8,8,9,14,12,13,21,16,25,28,25,27,21
