町村別,保管場所,毛布（枚）,カーペット（枚）,カーペット内、ゴザ（枚）,クラッカー・アルファ化米,ロウソク（個）,キャンドル（個）,肌着（組）,人口（人）
大島支庁,大島支庁備蓄倉庫,3300,2000,,10620,4000,4000,900,
大島町,岡田備蓄庫,1100,555,,5100,0,0,0,
大島町,泉津備蓄庫,1530,1280,142,1350,0,0,0,
大島町,差木地備蓄庫,2700,945,300,6940,0,0,0,
大島町,火山博物館倉庫,770,0,,7300,0,0,0,
大島町,その他各施設,1787,815,43,4220,,,,
大島町,小計,7887,3595,485,24910,0,0,0,8015
利島村,利島村役場,400,135,,900,0,0,0,315
新島村,新島村防災備蓄倉庫,2220,0,,36550,0,0,0,
新島村,若郷防災備蓄倉庫,670,90,,6620,0,0,0,
新島村,式根島防災備蓄倉庫,660,0,,7280,0,0,0,
新島村,小計,3550,90,,50450,0,0,0,2753
神津島村,神津島村役場,1130,295,,9420,0,0,0,1878
大島支庁管内合計,,16137,6020,485,110190,7000,4000,900,12961
