港名,入港船舶／隻数,入港船舶／総トン数,取扱貨物（トン）／出荷,取扱貨物（トン）／入荷,乗降客数（人）／乗客,乗降客数（人）／降客,乗降客数（人）／計
大島／元町港,1369,791825,19305,119176,60080,50815,110895
大島／岡田港,2170,3065398,10396,35921,165945,181665,347610
大島／波浮港,430,134239,4816,47634,0,0,0
大島／計,3969,3991462,34517,202731,226025,232480,458505
利島港,1378,2686109,2187,126615,7032,6926,13958
新島港,1611,2887692,21730,80841,26634,29750,56384
式根島港,0,0,0,0,0,0,0
神津島港,589,908649,3350,11071,22014,23389,45403
合計,7547,10473912,61784,421258,281705,292545,574250
