月,航空旅客機／新中央航空（株）／降客（人）,航空旅客機／新中央航空（株）／乗客（人）,航空旅客機／新中央航空（株）／計（人）,航空旅客機／東邦航空（株）／降客（人）,航空旅客機／東邦航空（株）／乗客（人）,航空旅客機／東邦航空（株）／計（人）,航空旅客機／その他／降客（人）,航空旅客機／その他／乗客（人）,航空旅客機／その他／計（人）,航空旅客機／合計（人）,航空貨物取扱数量（kg）／卸,航空貨物取扱数量（kg）／積
4,643,741,1384,193,130,323,136,140,276,1983,1129,221
5,665,803,1468,193,130,323,174,174,348,2139,1184,181
6,470,595,1065,167,95,262,115,115,230,1557,1095,151
7,749,795,1544,154,84,238,177,177,354,2136,1211,250
8,1131,1208,2339,182,122,304,91,88,179,2822,1172,104
9,683,853,1536,173,111,284,72,72,144,1964,1053,104
10,671,791,1462,271,181,452,136,136,272,2186,1098,216
11,696,727,1423,236,152,388,156,156,312,2123,1142,217
12,840,911,1751,311,187,498,161,165,326,2575,1169,254
1,708,894,1602,283,257,540,122,121,243,2385,1064,206
2,715,812,1527,278,168,446,141,141,282,2255,972,176
3,892,1042,1934,281,205,486,148,149,297,2717,1211,220
計,8863,10172,19035,2722,1822,4544,1629,1634,3263,26842,13500,2300
