項目,大島町,利島村,新島村,神津島村,都内町村計,都内市町村計
自主財源／地方税（千円）,953987,47622,341494,232059,13598180,733108209
自主財源／地方税構成比（％）,9.8,2.5,7.1,7.7,18.4,44.3
自主財源／使用料・手数料（千円）,268662,19260,112140,56173,1784603,32970644
自主財源／使用料・手数料構成比（％）,2.8,1,2.3,1.9,2.4,2
自主財源／財産収入（千円）,17036,4421,27089,4706,319691,6718703
自主財源／財産収入構成比（％）,0.2,0.2,0.6,0.2,0.4,0.4
自主財源／その他（千円）,676537,622149,464766,187794,7950983,138629787
自主財源／その他構成比（％）,7,32.3,9.7,6.2,10.7,8.4
自主財源／計（千円）,1916222,693452,945489,480732,23653457,911427343
自主財源／計構成比（％）,19.7,36,19.8,15.9,32,55.1
依存財源／地方交付税（千円）,2242211,354722,1388561,904950,15259285,51982139
依存財源／地方交付税構成比（％）,23.1,18.4,29,30,20.6,3.1
依存財源／国庫支出金（千円）,681845,120343,363938,125344,5129357,276435236
依存財源／国庫支出金構成比（％）,7,6.3,7.6,4.2,6.9,16.7
依存財源／都支出金（千円）,3578039,696080,1570424,1214681,22046974,228902108
依存財源／都支出金構成比（％）,36.9,36.2,32.8,40.3,29.8,13.8
依存財源／地方債（千円）,1006484,48680,401970,229164,4274132,67695150
依存財源／地方債構成比（％）,10.4,2.5,8.4,7.6,5.8,4.1
依存財源／その他（千円）,281713,12024,112083,59388,3619682,118185048
依存財源／その他構成比（％）,2.9,0.6,2.3,2,4.9,15.9
依存財源／計（千円）,7790292,1231849,3836976,2533527,50329430,743199681
依存財源／計構成比（％）,80.3,64,80.2,84.1,68,44.9
合計（千円）,9706514,1925301,4782465,3014259,73982887,1654627024
合計構成比（％）,100,100,100,100,100,100
