NO,名称,名称_カナ,住所,方書,緯度,経度,標高（ｍ）,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
0000000001,都立国際高校,トリツコクサイコウコウ,東京都目黒区駒場 2-19-59,,35.659293,139.678891,34.6 ,,,131105,東京都,目黒区,,,,◯,,,,,,,,,
0000000002,駒場小学校,コマバショウガッコウ,東京都目黒区駒場 3-11-13,,35.659860,139.681936,33.6 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000003,第一中学校,ダイイチチュウガッコウ,東京都目黒区大橋 2-11-1,,35.654667,139.686633,33.1 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000004,都立駒場高校,トリツコマバコウコウ,東京都目黒区大橋 2-18-1,,35.654991,139.685451,33.4 ,,,131105,東京都,目黒区,,,,◯,,,,,,,,,
0000000005,菅刈小学校,スゲカリショウガッコウ,東京都目黒区青葉台 3-3-26,,35.651673,139.692158,15.6 ,,,131105,東京都,目黒区,◯,,,◯,,,◯,,,,,,
0000000006,菅刈公園,スゲカリコウエン,東京都目黒区青葉台 2-11-25,,35.650203,139.693883,14.2 ,,,131105,東京都,目黒区,,,,◯,,,,,,,,,
0000000007,東山中学校,ヒガシヤマチュウガッコウ,東京都目黒区東山 1-24-31,,35.646476,139.690227,28.5 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000008,東山小学校,ヒガシヤマショウガッコウ,東京都目黒区東山 2-24-25,,35.646920,139.685758,30.8 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000009,鳥森小学校,カラスモリショウガッコウ,東京都目黒区上目黒 3-37-27,,35.644365,139.692883,26.4 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000010,めぐろ学校サポートセンター,メグロガッコウサポートセンター,東京都目黒区中目黒 3-6-10,,35.639384,139.702725,9.5 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000011,中目黒小学校,ナカメグロショウガッコウ,東京都目黒区中目黒 3-13-32,,35.640194,139.699171,23.9 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000012,田道小学校,デンドウショウガッコウ,東京都目黒区目黒 1-15-28,,35.637594,139.709168,6.7 ,,,131105,東京都,目黒区,,◯,,◯,,,,,,,,,
0000000013,下目黒小学校,シモメグロショウガッコウ,東京都目黒区目黒 2-7-9,,35.634203,139.709154,5.9 ,,,131105,東京都,目黒区,,◯,,◯,,,,,,,,,
0000000014,大鳥中学校,オオトリチュウガッコウ,東京都目黒区下目黒 3-23-18,,35.631092,139.707612,19.0 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000015,不動小学校,フドウショウガッコウ,東京都目黒区下目黒 6-11-35,,35.627081,139.699099,27.7 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000017,上目黒小学校,カミメグロショウガッコウ,東京都目黒区五本木 1-12-13,,35.638735,139.690425,30.0 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000018,都立目黒高校,トリツメグロコウコウ,東京都目黒区祐天寺 2-7-15,,35.636927,139.694616,29.5 ,,,131105,東京都,目黒区,,,,◯,,,,,,,,,
0000000019,油面小学校,アブラメンショウガッコウ,東京都目黒区中町 1-5-4,,35.632395,139.698299,28.5 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000020,目黒中央中学校,メグロチュウオウチュウガッコウ,東京都目黒区中町 2-37-38,,35.634678,139.693647,26.1 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000021,五本木小学校,ゴホンギショウガッコウ,東京都目黒区五本木 2-24-3,,35.634466,139.687889,31.2 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000022,鷹番小学校,タカバンショウガッコウ,東京都目黒区中央町 1-20-26,,35.627761,139.690222,30.0 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000023,碑文谷公園,ヒモンヤコウエン,東京都目黒区碑文谷 6-9-11,,35.626550,139.682084,30.0 ,,,131105,東京都,目黒区,,,,◯,,,,,,,,,
0000000024,碑文谷体育館,ヒモンヤタイイクカン,東京都目黒区碑文谷 6-12-43,,35.627225,139.682079,29.9 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000025,月光原小学校,ゲッコウハラショウガッコウ,東京都目黒区目黒本町 4-15-3,,35.622510,139.694586,29.4 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000026,向原小学校,ムカイハラショウガッコウ,東京都目黒区目黒本町 6-7-15,,35.618716,139.695783,24.7 ,,,131105,東京都,目黒区,,◯,,◯,,,,,,,,,
0000000027,第七中学校,ダイナナチュウガッコウ,東京都目黒区碑文谷 1-1-33,,35.622923,139.691764,27.2 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000028,碑小学校,イシブミショウガッコウ,東京都目黒区碑文谷 1-18-2,,35.619603,139.690579,28.4 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000029,原町小学校,ハラマチショウガッコウ,東京都目黒区原町 2-18-12,,35.615752,139.690492,29.3 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000030,第九中学校,ダイクチュウガッコウ,東京都目黒区洗足 1-29-26,,35.613508,139.694550,27.6 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000031,第八中学校,ダイハチチュウガッコウ,東京都目黒区碑文谷 4-19-25,,35.619685,139.682495,38.0 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
