"施設名","定員[人]","入所者数[人]"
"区立 白金の森","90","90"
"区立 港南の郷","90","90"
"区立 サン・サン赤坂","80","79"
"民間 麻布慶福苑","100","98"
"民間 ベル","51","48"
"民間 新橋さくらの園","100","95"
"民間 ありすの杜きのこ南麻布","118","115"
"民間 洛和ヴィラ南麻布","100","99"

"平成30年度港区行政資料集　特別養護老人ホーム入所者数","Ver201804",
