年・期,西暦(年),四半期,東京都／男女計（％、ポイント）,東京都／男（％、ポイント）,東京都／女（％、ポイント）,南関東／男女計（％、ポイント）,南関東／男（％、ポイント）,南関東／女（％、ポイント）,全国／男女計（％、ポイント）,全国／男（％、ポイント）,全国／女（％、ポイント）
完全失業率／平成14年４～６月平均,2002,04～06,6.1,6.2,5.8,5.7,5.8,5.5,5.5,5.7,5.4
完全失業率／平成14年７～９月平均,2002,07～09,5.8,5.9,5.7,5.4,5.5,5.2,5.3,5.5,5.1
完全失業率／平成14年10～12月平均,2002,10～12,4.8,4.9,4.6,5.2,5.4,4.9,5.2,5.5,4.7
完全失業率／平成15年１～３月平均,2003,01～03,4.7,4.4,5.2,5,4.8,5.3,5.5,5.7,5.3
完全失業率／平成15年４～６月平均,2003,04～06,5.3,5.1,5.6,5.2,5.3,5.3,5.5,5.8,5.2
完全失業率／平成15年７～９月平均,2003,07～09,4.8,5,4.7,4.9,5,4.8,5.1,5.3,4.8
完全失業率／平成15年10～12月平均,2003,10～12,5.3,5.2,5.6,5,5.2,4.8,4.9,5.1,4.5
完全失業率／平成16年１～３月平均,2004,01～03,5.3,5.2,5.5,4.8,4.7,4.9,5,5.2,4.7
完全失業率／平成16年４～６月平均,2004,04～06,4.8,4.8,4.9,4.5,4.5,4.6,4.8,5,4.6
完全失業率／平成16年７～９月平均,2004,07～09,5,5.1,4.7,4.4,4.6,4.3,4.7,4.9,4.4
完全失業率／平成16年10～12月平均,2004,10～12,4.9,5,4.7,4.5,4.7,4.3,4.4,4.6,4
完全失業率／平成17年１～３月平均,2005,01～03,5,5.1,4.8,4.6,4.7,4.5,4.7,4.9,4.4
完全失業率／平成17年４～６月平均,2005,04～06,5,5,5.1,4.6,4.6,4.5,4.5,4.6,4.2
完全失業率／平成17年７～９月平均,2005,07～09,4.5,4.4,4.8,4.2,4.2,4.3,4.3,4.3,4.2
完全失業率／平成17年10～12月平均,2005,10～12,4.3,4.5,4.1,4.1,3.9,4.3,4.3,4.4,4.2
完全失業率／平成18年１～３月平均,2006,01～03,4.3,4.9,3.5,4,4.3,3.6,4.4,4.7,3.9
完全失業率／平成18年４～６月平均,2006,04～06,4.1,3.9,4.3,4,3.9,4.1,4.2,4.3,4.1
完全失業率／平成18年７～９月平均,2006,07～09,3.9,4,3.8,3.8,3.8,3.8,4.1,4.2,3.9
完全失業率／平成18年10～12月平均,2006,10～12,4.4,4.5,4.3,3.9,4,3.9,3.9,4.2,3.6
完全失業率／平成19年１～３月平均,2007,01～03,4.4,4.6,4.3,4,4.1,3.8,4.1,4.2,4
完全失業率／平成19年４～６月平均,2007,04～06,3.8,3.6,4.2,3.6,3.6,3.6,3.8,3.9,3.6
完全失業率／平成19年７～９月平均,2007,07～09,3.4,3.7,3,3.4,3.3,3.6,3.7,3.8,3.7
完全失業率／平成19年10～12月平均,2007,10～12,3.7,3.1,4.6,3.4,3.3,3.6,3.7,3.9,3.6
完全失業率／平成20年１～３月平均,2008,01～03,3.6,3.6,3.7,3.7,3.7,3.6,4,4.1,3.9
完全失業率／平成20年４～６月平均,2008,04～06,3.9,3.8,4.1,3.9,3.8,3.9,4,4.1,3.9
完全失業率／平成20年７～９月平均,2008,07～09,3.9,3.8,4.1,3.7,3.7,3.7,4,4,3.9
完全失業率／平成20年10～12月平均,2008,10～12,3.7,3.4,4.2,3.7,3.7,3.9,3.9,4.1,3.7
完全失業率／平成21年１～３月平均,2009,01～03,3.9,3.5,4.6,4.2,3.9,4.6,4.6,4.7,4.5
完全失業率／平成21年４～６月平均,2009,04～06,4.8,4.7,5,5,5.1,5,5.2,5.4,4.9
完全失業率／平成21年７～９月平均,2009,07～09,5.2,4.8,5.7,5.3,5.1,5.5,5.4,5.7,5.1
完全失業率／平成21年10～12月平均,2009,10～12,4.8,4.8,4.9,4.7,4.8,4.7,5,5.3,4.7
完全失業率／平成22年１～３月平均,2010,01～03,5,5.3,4.4,4.9,5.1,4.5,5.1,5.5,4.5
完全失業率／平成22年４～６月平均,2010,04～06,6.3,7,5.3,5.6,5.7,5.4,5.3,5.6,4.8
完全失業率／平成22年７～９月平均,2010,07～09,5.7,5.4,6.2,5.3,5.2,5.4,5.1,5.4,4.6
対前年・前年同期増減数／平成10年平均,1998,,0.8,1.1,0.3,0.7,0.9,0.3,0.7,0.8,0.6
対前年・前年同期増減数／平成11年平均,1999,,0.6,0.6,0.4,0.6,0.6,0.6,0.6,0.6,0.5
対前年・前年同期増減数／平成12年平均,2000,,-0.5,-0.6,-0.1,-0.3,-0.3,-0.2,0,0.1,0
対前年・前年同期増減数／平成13年平均,2001,,0.2,0.3,-0.1,0.1,0.3,-0.1,0.3,0.3,0.2
対前年・前年同期増減数／平成14年平均,2002,,0.4,0.3,0.5,0.5,0.4,0.4,0.4,0.3,0.4
対前年・前年同期増減数／平成15年平均,2003,,-0.6,-0.7,-0.2,-0.3,-0.4,-0.2,-0.1,0,-0.2
対前年・前年同期増減数／平成16年平均,2004,,0,0.1,-0.4,-0.5,-0.5,-0.6,-0.6,-0.6,-0.5
対前年・前年同期増減数／平成17年平均,2005,,-0.3,-0.3,-0.2,-0.3,-0.2,0,-0.3,-0.3,-0.2
対前年・前年同期増減数／平成18年平均,2006,,-0.5,-0.4,-0.7,-0.3,-0.4,-0.5,-0.3,-0.3,-0.3
対前年・前年同期増減数／平成19年平均,2007,,-0.4,-0.6,0,-0.4,-0.4,-0.3,-0.2,-0.4,-0.2
対前年・前年同期増減数／平成20年平均,2008,,0,-0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1
対前年・前年同期増減数／平成21年平均,2009,,0.9,0.8,0.9,1,1,1.2,1.1,1.2,1
対前年・前年同期増減数／平成10年１～３月平均,1998,01～03,0.5,0.9,-0.2,0.4,0.6,-0.3,0.4,0.5,0.1
対前年・前年同期増減数／平成10年４～６月平均,1998,04～06,1,1.3,0.6,0.9,1.2,0.4,0.8,1,0.6
対前年・前年同期増減数／平成10年７～９月平均,1998,07～09,0.7,0.7,0.4,0.8,0.8,0.6,0.8,0.9,0.8
対前年・前年同期増減数／平成10年10～12月平均,1998,10～12,1,1.4,0.4,0.9,1,0.6,0.8,0.9,0.8
対前年・前年同期増減数／平成11年１～３月平均,1999,01～03,1.2,1.2,1.1,1.1,1,1.3,0.9,0.9,1
対前年・前年同期増減数／平成11年４～６月平均,1999,04～06,0.4,1.1,-0.7,0.7,0.8,0.5,0.7,0.8,0.4
対前年・前年同期増減数／平成11年７～９月平均,1999,07～09,0.3,-0.1,0.9,0.6,0.5,0.7,0.5,0.4,0.5
対前年・前年同期増減数／平成11年10～12月平均,1999,10～12,0.2,0.2,0.3,-0.1,0,-0.1,0.2,0.3,0
対前年・前年同期増減数／平成12年１～３月平均,2000,01～03,-0.3,-0.4,0,-0.2,-0.3,-0.2,0.2,0.3,0
対前年・前年同期増減数／平成12年４～６月平均,2000,04～06,-0.4,-1.5,1.2,-0.4,-0.6,0.1,0,-0.1,0.2
対前年・前年同期増減数／平成12年７～９月平均,2000,07～09,-0.2,0.1,-0.5,-0.4,-0.1,-0.6,-0.1,0.1,-0.2
対前年・前年同期増減数／平成12年10～12月平均,2000,10～12,-0.8,-0.7,-1,-0.1,0,-0.5,0.1,0.2,0.1
対前年・前年同期増減数／平成13年１～３月平均,2001,01～03,-0.5,-0.3,-0.9,-0.4,-0.2,-0.5,0,-0.1,0.1
対前年・前年同期増減数／平成13年４～６月平均,2001,04～06,-0.1,0.2,-0.6,-0.1,0.1,-0.5,0.2,0.3,0
対前年・前年同期増減数／平成13年７～９月平均,2001,07～09,0.5,0.5,0.4,0.2,0.2,0.3,0.4,0.3,0.5
対前年・前年同期増減数／平成13年10～12月平均,2001,10～12,0.7,0.9,0.5,0.5,0.7,0.5,0.6,0.7,0.4
対前年・前年同期増減数／平成14年１～３月平均,2002,01～03,0.8,0.5,1.2,0.7,0.7,0.6,0.5,0.5,0.6
対前年・前年同期増減数／平成14年４～６月平均,2002,04～06,0.7,1,0.2,0.6,0.7,0.4,0.4,0.4,0.6
対前年・前年同期増減数／平成14年７～９月平均,2002,07～09,0.2,0.2,0.3,0.3,0.3,0.1,0.3,0.4,0.2
対前年・前年同期増減数／平成14年10～12月平均,2002,10～12,-0.1,-0.4,0.2,0.3,0.2,0.4,0.1,0,0.1
対前年・前年同期増減数／平成15年１～３月平均,2003,01～03,-0.9,-1,-0.6,-0.3,-0.5,0.1,0.1,0.2,0
対前年・前年同期増減数／平成15年４～６月平均,2003,04～06,-0.8,-1.1,-0.2,-0.5,-0.5,-0.2,0,0.1,-0.2
対前年・前年同期増減数／平成15年７～９月平均,2003,07～09,-1,-0.9,-1,-0.5,-0.5,-0.4,-0.2,-0.2,-0.3
対前年・前年同期増減数／平成15年10～12月平均,2003,10～12,0.5,0.3,1,-0.2,-0.2,-0.1,-0.3,-0.4,-0.2
対前年・前年同期増減数／平成16年１～３月平均,2004,01～03,0.6,0.8,0.3,-0.2,-0.1,-0.4,-0.5,-0.5,-0.6
対前年・前年同期増減数／平成16年４～６月平均,2004,04～06,-0.5,-0.3,-0.7,-0.7,-0.8,-0.7,-0.7,-0.8,-0.6
対前年・前年同期増減数／平成16年７～９月平均,2004,07～09,0.2,0.1,0,-0.5,-0.4,-0.5,-0.4,-0.4,-0.4
対前年・前年同期増減数／平成16年10～12月平均,2004,10～12,-0.4,-0.2,-0.9,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
対前年・前年同期増減数／平成17年１～３月平均,2005,01～03,-0.3,-0.1,-0.7,-0.2,0,-0.4,-0.3,-0.3,-0.3
対前年・前年同期増減数／平成17年４～６月平均,2005,04～06,0.2,0.2,0.2,0.1,0.1,-0.1,-0.3,-0.4,-0.4
対前年・前年同期増減数／平成17年７～９月平均,2005,07～09,-0.5,-0.7,0.1,-0.2,-0.4,0,-0.4,-0.6,-0.2
対前年・前年同期増減数／平成17年10～12月平均,2005,10～12,-0.6,-0.5,-0.6,-0.4,-0.8,0,-0.1,-0.2,0.2
対前年・前年同期増減数／平成18年１～３月平均,2006,01～03,-0.7,-0.2,-1.3,-0.6,-0.4,-0.9,-0.3,-0.2,-0.5
対前年・前年同期増減数／平成18年４～６月平均,2006,04～06,-0.9,-1.1,-0.8,-0.6,-0.7,-0.4,-0.3,-0.3,-0.1
対前年・前年同期増減数／平成18年７～９月平均,2006,07～09,-0.6,-0.4,-1,-0.4,-0.4,-0.5,-0.2,-0.1,-0.3
対前年・前年同期増減数／平成18年10～12月平均,2006,10～12,0.1,0,0.2,-0.2,0.1,-0.4,-0.4,-0.2,-0.6
対前年・前年同期増減数／平成19年１～３月平均,2007,01～03,0.1,-0.3,0.8,0,-0.2,0.2,-0.3,-0.5,0.1
対前年・前年同期増減数／平成19年４～６月平均,2007,04～06,-0.3,-0.3,-0.1,-0.4,-0.3,-0.5,-0.4,-0.4,-0.5
対前年・前年同期増減数／平成19年７～９月平均,2007,07～09,-0.5,-0.3,-0.8,-0.4,-0.5,-0.2,-0.4,-0.4,-0.2
対前年・前年同期増減数／平成19年10～12月平均,2007,10～12,-0.7,-1.4,0.3,-0.5,-0.7,-0.3,-0.2,-0.3,0
対前年・前年同期増減数／平成20年１～３月平均,2008,01～03,-0.8,-1,-0.6,-0.3,-0.4,-0.2,-0.1,-0.1,-0.1
対前年・前年同期増減数／平成20年４～６月平均,2008,04～06,0.1,0.2,-0.1,0.3,0.2,0.3,0.2,0.2,0.3
対前年・前年同期増減数／平成20年７～９月平均,2008,07～09,0.5,0.1,1.1,0.3,0.4,0.1,0.3,0.2,0.2
対前年・前年同期増減数／平成20年10～12月平均,2008,10～12,0,0.3,-0.4,0.3,0.4,0.3,0.2,0.2,0.1
対前年・前年同期増減数／平成21年１～３月平均,2009,01～03,0.3,-0.1,0.9,0.5,0.2,1,0.6,0.6,0.6
対前年・前年同期増減数／平成21年４～６月平均,2009,04～06,0.9,0.9,0.9,1.1,1.3,1.1,1.2,1.3,1
対前年・前年同期増減数／平成21年７～９月平均,2009,07～09,1.3,1,1.6,1.6,1.4,1.8,1.4,1.7,1.2
対前年・前年同期増減数／平成21年10～12月平均,2009,10～12,1.1,1.4,0.7,1,1.1,0.8,1.1,1.2,1
対前年・前年同期増減数／平成22年１～３月平均,2010,01～03,1.1,1.8,-0.2,0.7,1.2,-0.1,0.5,0.8,0
対前年・前年同期増減数／平成22年４～６月平均,2010,04～06,1.5,2.3,0.3,0.6,0.6,0.4,0.1,0.2,-0.1
対前年・前年同期増減数／平成22年７～９月平均,2010,07～09,0.5,0.6,0.5,0,0.1,-0.1,-0.3,-0.3,-0.5
,,,,,,,,,,,
東京の労働力統計データ（平成22年７～９月平均）,,,,,,,,,,,
参考　東京都、南関東及び全国の完全失業率（原数値）,,,,,,,,,,,
注）南関東：埼玉県、千葉県、東京都、神奈川県,,,,,,,,,,,
