,№,名称,住所,緯度,経度,備考,設置場所（フロア）,利用出来ますシール
AU,1,関戸公民館,多摩市関戸4-72,35.649825,139.446818,ヴィータ・コミューネ内,７Ｆ市民ロビー周辺,出張所入口
,2,永山公民館,多摩市永山1-5,35.628308,139.448407,ベルブ永山内,事務室周辺,正面入口
,3,唐木田コミュニティセンター（からきだ菖蒲館）,多摩市鶴牧6-14,35.615405,139.413274,図書館併設,１Ｆロビー周辺,正面入口
,4,桜ヶ丘コミュニティセンター（ゆう桜ヶ丘）,多摩市桜ヶ丘1-17-7,35.639911,139.44649,児童館併設,１Ｆロビー周辺,正面入口
,5,乞田・貝取コミュニティセンター（乞田・貝取ふれあい館）,多摩市乞田810,35.630901,139.434555,,１Ｆロビー周辺,正面入口
,6,愛宕コミュニティセンター（愛宕かえで館）,多摩市愛宕3-2,35.633543,139.434482,,１Ｆロビー周辺,正面入口
,7,東寺方図書館,多摩市東寺方626-7,35.643261,139.437713,,受付カウンター周辺,正面入口
,8,豊ヶ丘図書館,多摩市豊ヶ丘5-6,35.614618,139.434865,,受付カウンター周辺,正面入口
,9,関戸図書館,多摩市関戸1-1-5,35.651829,139.44592,,閲覧室,正面入口
,10,永山図書館,多摩市永山1-5,35.628308,139.448237,ベルブ永山内,閲覧コーナー（入口右奥）,正面入口
,11,唐木田図書館,多摩市鶴牧6-14,35.615407,139.413357,コミュニティセンター併設,受付カウンター周辺,正面入口
,12,総合体育館 ,多摩市東寺方588-1,35.643555,139.436244,,１Ｆ受付ロビー周辺,正面入口
