名称,名称カナ,設置者,住所,緯度,経度,利用可能日,利用可能時間,備　考
市役所（本庁舎）,シヤクショ（ホンチョウシャ）,あきる野市,東京都あきる野市二宮350,35.729018,139.294204,月火水木金（祝日、年末年始は除く）,午前8時30分～午後5時15分,時間外開庁時や市民開放時に利用される方は、職員にお声がけください。
五日市保健相談センター1階子育てひろばいつかいち,イツカイチホケンセンターイッカイコソダテヒロバイツカイチ,あきる野市,東京都あきる野市五日市414ｰ5,35.729634,139.219506,月火水木金第2土第4土（祝日、年末年始は除く）,午前10時～午後3時,利用される方は、職員にお声がけください。
あきる野ルピア1階子育てひろばるぴああきる野っ子,アキルノルピアイッカイコソダテヒロバルピアアキルノッコ,あきる野市,東京都あきる野市秋川1-8,35.729977,139.287091,月火水木金土（第2水、祝日、年末年始は除く）,午前10時～午後3時,利用される方は、職員にお声がけください。
あきる野ルピア2階子育てひろばここるの,アキルノルピアニカイコソダテヒロバココルノ,あきる野市,東京都あきる野市秋川1-8,35.729977,139.287091,月火水木金土（第2水、祝日、年末年始は除く）,午前10時～午後4時,利用される方は、職員にお声がけください。
中央図書館,チュウオウトショカン,あきる野市,東京都あきる野市秋川1-16-2,35.730707,139.288733,月火水木土日（第3火、特別整理日、年末年始は除く）,午前10時～午後8時(土･日･祝日は午後6時まで),
東部図書館エル,トウブトショカンエル,あきる野市,東京都あきる野市野辺39-27,35.725255,139.315717,火水木金土日（祝日、特別整理日、年末年始は除く）,午前10時～午後6時(水は午後8時まで),
秋川ふれあいセンター,アキガワフレアイセンター,あきる野市,東京都あきる野市平沢175-4,35.732611,139.301973,月火水木金（祝日、年末年始は除く）,午前8時30分～午後5時15分,
あきる野とうきゅう4階ベビー休憩室,アキルノトウキュウヨンカイベビーキュウケイシツ,民間,東京都あきる野市秋川1-17-1,35.730727,139.287063,月火水木金土日,午前10時～午後9時,ベビー休憩室のとなりに子どもが遊べるスペース有
光明第六保育園,コウミョウダイロクホイクエン,民間,東京都あきる野市留原50,35.72325,139.234596,月火水木金土（祝日、年末年始は除く）,午前8時30分～午後5時,
五日市保育園,イツカイチホイクエン,民間,東京都あきる野市五日市345,35.731015,139.223856,月火水木金土（祝日、年末年始は除く）,午前8時30分～午後6時15分,地域の方が遊べるスペース有
秋留台公園,アキルダイコウエン,東京都,東京都あきる野市二宮673-1,35.729404,139.301899,月火水木金土日（年末年始は除く）,午前9時～午後5時,
