"施設名称","施設郵便番号","施設所在地","施設方書","確認日","確認番号","施設種別"
"（株）白洋舍東京支店　溜池工場","107-0052","東京都港区赤坂一丁目3番1号",,"1968/9/11","第4号","一般"
"ＳＡＩＯＮ　ＳＡＫＵＲＡＺＡＫＡ（サイオン　サクラザカ）","107-0052","東京都港区赤坂一丁目11番12号","SAION SAKURAZAKA 1階","2012/12/10","24港み生環き第135号","取次所"
"ホーマットバイカウント","107-0052","東京都港区赤坂一丁目11番40号","16階","2015/6/25","27港み生環き第61号","取次所"
"エヌテーアクアツインズ（株）ＡＮＡインターコンチネンタルホテル東京内Ｂ２","107-0052","東京都港区赤坂一丁目12番33号",,"1991/8/23","3港赤総衛環き第12号","一般"
"エヌテーアクアツインズ（株）ＡＮＡインターコンチネンタルホテル東京内５Ｆ","107-0052","東京都港区赤坂一丁目12番33号",,"2010/5/7","22港み生環き第20号","取次所"
"パークハビオ赤坂タワー","107-0052","東京都港区赤坂二丁目6番15号","1階","2015/3/11","26港み生環き第203号","取次所"
"ヴィアイン　プライム　赤坂","107-0052","東京都港区赤坂二丁目6番17号","2階","2022/9/26","4港み生環き第97号","取次所"
"ポニークリーニング　赤坂２丁目","107-0052","東京都港区赤坂二丁目13番14号",,"2019/3/15","30港み生環き第205号","取次所"
"クイックリフォームサービス赤坂店","107-0052","東京都港区赤坂二丁目13番14号","福富ビル1階","2021/1/13","2港み生環き第182号","取次所"
"赤坂溜池タワーレジデンス","107-0052","東京都港区赤坂二丁目17番1号",,"2020/3/9","31港み生環き第255号","取次所"
"衆議院赤坂議員宿舎","107-0052","東京都港区赤坂二丁目17番10号",,"2007/3/20","18港み生環き第165号","取次所"
"赤坂タワーレジデンス　トップオブザヒル　ガーデンレセプション","107-0052","東京都港区赤坂二丁目17番50号","赤坂タワーレジデンス トップオブザヒル 1階","2023/7/31","5港み生環き第80号","取次所"
"ホテルマイステイズプレミア赤坂","107-0052","東京都港区赤坂二丁目17番54号",,"2016/7/15","28港み生環き第55号","取次所"
"ポニークリーニング赤坂２丁目店","107-0052","東京都港区赤坂二丁目21番4号","天翔赤坂ANNEXビル1階","2020/8/26","2港み生環き第108号","取次所"
"ベストウェスタンホテルフィーノ東京赤坂","107-0052","東京都港区赤坂三丁目7番12号",,"2020/7/27","2港み生環き第94号","取次所"
"ローソン赤坂見附","107-0052","東京都港区赤坂三丁目8番15号","ザ・アカサカ 1階","2013/3/5","24港み生環き第172号","取次所"
"シスターランドリー","107-0052","東京都港区赤坂三丁目14番3号","ドルミ赤坂","1980/9/8","55港赤保衛環き第17号","一般"
"ハンギルサ","107-0052","東京都港区赤坂三丁目15番4号","レアルタ赤坂 1階","2011/5/27","23港み生環き第23号","取次所"
"スーパーホテルＰｒｅｍｉｅｒ赤坂","107-0052","東京都港区赤坂三丁目16番7号","2階","2015/3/19","26港み生環き第210号","取次所"
"エフ・イー・エムサウナ","107-0052","東京都港区赤坂三丁目16番11号","東海赤坂ビル 地下1階","2007/2/9","18港み生環き第128号","一般"
"ホテルリズベリオ赤坂","107-0052","東京都港区赤坂三丁目18番1号","1階","2022/5/11","4港み生環き第12号","取次所"
"アパホテル＜赤坂見附＞","107-0052","東京都港区赤坂三丁目19番10号","1階","2015/5/14","27港み生環き第31号","取次所"
"ザ・ビー赤坂見附","107-0052","東京都港区赤坂三丁目21番7号",,"2016/9/9","28港み生環き第102号","取次所"
"フォレセーヌ赤坂丹後町","107-0052","東京都港区赤坂四丁目5番15号",,"2009/3/18","20港み生環き第176号","取次所"
"セブンイレブン赤坂４丁目店","107-0052","東京都港区赤坂四丁目9番9号",,"2012/1/31","23港み生環き第135号","取次所"
"ホテルモントレ赤坂","107-0052","東京都港区赤坂四丁目9番24号",,"2020/10/23","2港み生環き第145号","取次所"
"パークコート赤坂ザタワー","107-0052","東京都港区赤坂四丁目14番14号","2階","2014/9/26","26港み生環き第110号","取次所"
"セブン－イレブン赤坂ガーデンシティ店","107-0052","東京都港区赤坂四丁目15番1号",,"2006/7/11","18港み生環き第54号","取次所"
"グリーンパーク赤坂","107-0052","東京都港区赤坂五丁目2番10号",,"2015/5/15","27港み生環き第34号","取次所"
"赤坂　ザ　レジデンス","107-0052","東京都港区赤坂五丁目3番3号","1階","2008/2/26","19港み生環き第122号","取次所"
"京王プレッソイン赤坂","107-0052","東京都港区赤坂六丁目2番13号",,"2015/6/24","27港み生環き第49号","取次所"
"相鉄フレッサイン東京赤坂","107-0052","東京都港区赤坂六丁目3番17号","1階","2014/12/24","26港み生環き第165号","取次所"
"ポニークリーニング赤坂６丁目店","107-0052","東京都港区赤坂六丁目4番17号",,"2011/1/6","22港み生環き第154号","取次所"
"赤坂氷川町レジデンス","107-0052","東京都港区赤坂六丁目5番10号","1階","2007/8/31","19港み生環き第55号","取次所"
"ファミールグランスイートＴＨＥ赤坂","107-0052","東京都港区赤坂六丁目5番38号",,"2018/1/31","29港み生環き第200号","取次所"
"Ｈｏｒｉｚｏｎ　Ｐｌａｃｅ　Ａｋａｓａｋａクリーニング取次所","107-0052","東京都港区赤坂六丁目8番2号","1階","2008/5/7","20港み生環き第17号","取次所"
"パークマンション赤坂氷川坂","107-0052","東京都港区赤坂六丁目8番8号",,"2014/10/10","26港み生環き第111号","取次所"
"フォレセーヌ赤坂氷川町","107-0052","東京都港区赤坂六丁目9番1号",,"2009/5/11","21港み生環き第16号","取次所"
"白馬ランドリー","107-0052","東京都港区赤坂六丁目10番40号",,"1978/11/22","53港赤保衛環き第26号","一般"
"セブンイレブン赤坂氷川坂下店","107-0052","東京都港区赤坂六丁目11番1号",,"2019/5/14","30港み生環き第223号","取次所"
"セブン－イレブン赤坂６丁目店","107-0052","東京都港区赤坂六丁目14番15号",,"2005/5/17","17港み生環き第18号","取次所"
"ポニークリーニング赤坂小前店","107-0052","東京都港区赤坂六丁目15番14号",,"2017/2/8","28港み生環き第172号","取次所"
"ＨＩＫＡＷＡ　ＧＡＲＤＥＮＳ　ＡＫＡＳＡＫＡ（ヒカワ　ガーデンズ　アカサカ）","107-0052","東京都港区赤坂六丁目19番19号","1階","2018/10/22","30港み生環き第107号","取次所"
"プレステージ赤坂氷川町","107-0052","東京都港区赤坂六丁目19番23号",,"2020/3/19","31港み生環き第269号","取次所"
"フォレセーヌ赤坂檜坂","107-0052","東京都港区赤坂六丁目19番33号",,"2016/3/14","27港み生環き第212号","取次所"
"クリーンヒルズ　ハイクラウン","107-0052","東京都港区赤坂七丁目5番27号",,"2005/4/21","17港み生環き第12号","取次所"
"ｔｈｅ　ｂ　赤坂","107-0052","東京都港区赤坂七丁目6番13号",,"2016/7/29","28港み生環き第69号","取次所"
"プレミスト赤坂檜町公園","107-0052","東京都港区赤坂七丁目6番45号",,"2018/7/18","30港み生環き第55号","取次所"
"ユナイテッドアローズ　修理受付センター","107-0052","東京都港区赤坂八丁目1番19号","日本生命赤坂ビル6階","2020/10/6","2港み生環き第134号","取次所"
"青山第一マンションズ","107-0052","東京都港区赤坂八丁目4番10号",,"2015/8/11","27港み生環き第94号","取次所"
"パークコート青山一丁目","107-0052","東京都港区赤坂八丁目5番5号",,"2019/9/25","31港み生環き第99号","取次所"
"サンウッド青山","107-0052","東京都港区赤坂八丁目5番43号",,"2019/2/1","30港み生環き第170号","取次所"
"株式会社田中屋クリーニング","107-0052","東京都港区赤坂八丁目7番20号",,"1983/4/20","58港赤保衛環き第4号","一般"
"一般財団法人アジア会館（ホテルアジア会館）","107-0052","東京都港区赤坂八丁目10番32号",,"2018/12/19","30港み生環き第147号","取次所"
"ロイヤルシーズン赤坂","107-0052","東京都港区赤坂八丁目10番34号",,"2018/2/5","29港み生環き第201号","取次所"
"乃木坂パークハウス　フロント","107-0052","東京都港区赤坂八丁目11番38号",,"2010/8/31","22港み生環き第94号","取次所"
"ポニークリーニング赤坂８丁目店","107-0052","東京都港区赤坂八丁目13番24号",,"2010/7/15","22港み生環き第59号","取次所"
"アサヒハイクリーナー　赤坂店","107-0052","東京都港区赤坂九丁目1番7号","赤坂レジデンシャルホテル 1階","1971/6/17","第1号","取次所"
"フラワークリーニング赤坂店","107-0052","東京都港区赤坂九丁目1番28号","デコズキャッスル 1階","2017/12/27","29港み生環き第182号","取次所"
"パークコート赤坂檜町ザタワー","107-0052","東京都港区赤坂九丁目4番1号","1階","2018/2/20","29港み生環き第211号","取次所"
